Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
301,565,V,AirForce,13,25,38,133,136,750,70
301,566,H,SanDiegoState,22,29,51,13.5,13,-1200,5
301,567,V,Nevada,47,35,82,7,7,-310,80.5
301,568,H,SanJoseState,24,43,67,151.5,152.5,260,1
301,569,V,WashingtonU,28,38,66,176,170.5,6000,89
301,570,H,UCLA,49,49,98,23,24,-15000,8.5
301,571,V,UtahState,30,29,59,4,4.5,-200,4.5
301,572,H,UNLV,33,33,66,141,143,170,77.5
301,573,V,TennesseeState,34,30,75,5,5,-210,2
301,574,H,SEMissouriSt,28,36,78,137,136,175,73
301,575,V,MurrayState,29,33,85,3.5,4,-175,3
301,576,H,TennesseeTech,30,32,84,149.5,149.5,155,78
301,577,V,SacredHeart,34,39,73,143,141.5,-420,76
301,578,H,MountStMarys,37,39,76,8.5,8.5,-420,4.5
301,579,V,FairDickinson,32,38,70,139,138,150,75
301,580,H,Wagner,38,34,72,6,3,-170,pk
301,581,V,Bryant,32,46,78,154,152.5,145,3
301,582,H,St.FrancisPA,48,52,100,3,3.5,-165,81.5
301,583,V,RobertMorris,26,43,69,132,131.5,175,69
301,584,H,LongIsland,27,41,68,4.5,4.5,-210,2.5
301,585,V,Maine,16,25,41,134,134.5,6500,71.5
301,586,H,Vermont,45,41,86,25,23.5,-16500,7.5
301,587,V,Binghamton,23,37,60,131.5,133.5,425,70.5
301,588,H,StonyBrook,39,31,70,10,10,-550,2
301,589,V,MDBaltimoreCo,29,36,65,149,148.5,135,0.5
301,590,H,NewHampshire,36,38,74,5,3,-155,77.5
301,591,V,Hartford,25,46,71,100,135,1025,74.5
301,592,H,AlbanyNY,51,49,100,1,14.5,-1550,3.5
302,707,V,Rice,44,45,89,182.5,181,133,96
302,708,H,Marshall,43,45,88,3,3,-153,2.5
302,709,V,CentralFlorida,27,32,59,11,11.5,-800,7.5
302,710,H,SouthFlorida,29,27,56,130.5,130.5,550,70
302,711,V,HoustonU,20,27,47,130.5,134,290,71
302,712,H,Cincinnati,37,28,65,7.5,8,-350,0.5
302,713,V,FloridaIntl,38,29,67,133.5,132,1500,73.5
302,714,H,MiddleTennSt,30,40,70,20.5,17.5,-3000,13.5
