2007-08 season:|Thu Nov 8 2007|at Chi|Chicago 97|Detroit 93  | | |
2007-08 season:|Thu Nov 8 2007|at GS|Dallas 120|Golden State 115  | | |
2007-08 season:|Fri Nov 9 2007|at Phi|Toronto 105|Philadelphia 103  | | |
2007-08 season:|Fri Nov 9 2007|at ChB|Cha Bobcats 96|Indiana 87  | | |
2007-08 season:|Fri Nov 9 2007|at Bos|Boston 106|Atlanta 83  | | |
2007-08 season:|Fri Nov 9 2007|at NY|Orlando 112|New York 102  | | |
2007-08 season:|Fri Nov 9 2007|at Mia|Phoenix 106|Miami 101  | | |
2007-08 season:|Fri Nov 9 2007|at Wsh|Denver 118|Washington 92  | | |
2007-08 season:|Fri Nov 9 2007|at Det|Detroit 103|LA Clippers 79  | | |
2007-08 season:|Fri Nov 9 2007|at NOH|San Antonio 97|NO Hornets 85  | | |
2007-08 season:|Fri Nov 9 2007|at Hou|Houston 104|Milwaukee 88  | | |
2007-08 season:|Fri Nov 9 2007|at Por|Portland 110|Memphis 98  | | |
2007-08 season:|Fri Nov 9 2007|at LAL|LA Lakers 107|Minnesota 93  | | |
2007-08 season:|Fri Nov 9 2007|at Sac|Cleveland 93|Sacramento 91  | | |
2007-08 season:|Fri Nov 9 2007|at Sea|Utah 103|Seattle 101  | | |
2007-08 season:|Sat Nov 10 2007|at Orl|Phoenix 106|Orlando 96  | | |
2007-08 season:|Sat Nov 10 2007|at Ind|Denver 113|Indiana 106  | | |
2007-08 season:|Sat Nov 10 2007|at NJ|Boston 112|New Jersey 101  | | |
2007-08 season:|Sat Nov 10 2007|at Chi|Toronto 101|Chicago 71  | | |
2007-08 season:|Sat Nov 10 2007|at Uta|Utah 118|Memphis 94  | | |
2007-08 season:|Sat Nov 10 2007|at Sac|Sacramento 100|Minnesota 93  | | |
2007-08 season:|Sat Nov 10 2007|at Por|Portland 91|Dallas 82  | | |
2007-08 season:|Sun Nov 11 2007|at Atl|Washington 101|Atlanta 90  | | |
2007-08 season:|Sun Nov 11 2007|at NY|Miami 75|New York 72  | | |
2007-08 season:|Sun Nov 11 2007|at Phi|NO Hornets 93|Philadelphia 72  | | |
2007-08 season:|Sun Nov 11 2007|at ChB|Houston 85|Cha Bobcats 82  | | |
2007-08 season:|Sun Nov 11 2007|at SA|San Antonio 113|Milwaukee 88  | | |
2007-08 season:|Sun Nov 11 2007|at Sea|Detroit 107|Seattle 103  | | |
2007-08 season:|Sun Nov 11 2007|at LAC|Cleveland 103|LA Clippers 95  | | |
2007-08 season:|Mon Nov 12 2007|at NJ|NO Hornets 84|New Jersey 82  | | |
2007-08 season:|Mon Nov 12 2007|at Den|Denver 122|Cleveland 100  | | |
2007-08 season:|Mon Nov 12 2007|at Uta|Utah 117|Sacramento 93  | | |
2007-08 season:|Tue Nov 13 2007|at ChB|Cha Bobcats 91|Miami 76  | | |
2007-08 season:|Tue Nov 13 2007|at Orl|Orlando 103|Seattle 76  | | |
2007-08 season:|Tue Nov 13 2007|at Ind|Boston 101|Indiana 86  | | |
2007-08 season:|Tue Nov 13 2007|at Mem|Memphis 105|Houston 99  | | |
2007-08 season:|Tue Nov 13 2007|at Dal|Dallas 99|Philadelphia 84  | | |
2007-08 season:|Tue Nov 13 2007|at SA|San Antonio 107|LA Lakers 92  | | |
2007-08 season:|Tue Nov 13 2007|at Pho|Phoenix 113|New York 102  | | |
2007-08 season:|Tue Nov 13 2007|at Por|Portland 102|Detroit 94  | | |
2007-08 season:|Wed Nov 14 2007|at Tor|Utah 92|Toronto 88  | | |
2007-08 season:|Wed Nov 14 2007|at Wsh|Washington 103|Indiana 90  | | |
2007-08 season:|Wed Nov 14 2007|at Atl|Atlanta 117|Cha Bobcats 109  | | |
2007-08 season:|Wed Nov 14 2007|at Cle|Orlando 117|Cleveland 116 (OT)| | |
2007-08 season:|Wed Nov 14 2007|at Bos|Boston 91|New Jersey 69  | | |
2007-08 season:|Wed Nov 14 2007|at Mia|Seattle 104|Miami 95  | | |
2007-08 season:|Wed Nov 14 2007|at Mil|Milwaukee 102|Memphis 99  | | |
2007-08 season:|Wed Nov 14 2007|at NOH|NO Hornets 95|Philadelphia 76  | | |
2007-08 season:|Wed Nov 14 2007|at Min|Minnesota 108|Sacramento 103  | | |
2007-08 season:|Wed Nov 14 2007|at Hou|LA Lakers 93|Houston 90  | | |
2007-08 season:|Wed Nov 14 2007|at Den|Denver 110|Portland 93  | | |
2007-08 season:|Wed Nov 14 2007|at LAC|LA Clippers 84|New York 81  | | |
2007-08 season:|Wed Nov 14 2007|at GS|Detroit 111|Golden State 104  | | |
2007-08 season:|Thu Nov 15 2007|at Dal|Dallas 105|San Antonio 92  | | |
2007-08 season:|Thu Nov 15 2007|at Pho|Phoenix 112|Chicago 102  | | |
2007-08 season:|Fri Nov 16 2007|at Tor|Toronto 110|Indiana 101  | | |
2007-08 season:|Fri Nov 16 2007|at Phi|Philadelphia 92|Portland 88  | | |
2007-08 season:|Fri Nov 16 2007|at Bos|Boston 92|Miami 91  | | |
2007-08 season:|Fri Nov 16 2007|at NJ|Orlando 95|New Jersey 70  | | |
2007-08 season:|Fri Nov 16 2007|at Atl|Seattle 126|Atlanta 123 (2OT)| | |
2007-08 season:|Fri Nov 16 2007|at Cle|Cleveland 99|Utah 94  | | |
2007-08 season:|Fri Nov 16 2007|at Mem|NO Hornets 120|Memphis 118 (OT)| | |
2007-08 season:|Fri Nov 16 2007|at SA|San Antonio 90|Houston 84  | | |
2007-08 season:|Fri Nov 16 2007|at Min|Washington 105|Minnesota 89  | | |
2007-08 season:|Fri Nov 16 2007|at Sac|Sacramento 123|New York 118 (2OT)| | |
2007-08 season:|Fri Nov 16 2007|at LAL|LA Lakers 103|Detroit 91  | | |
2007-08 season:|Fri Nov 16 2007|at GS|Golden State 122|LA Clippers 105  | | |
2007-08 season:|Sat Nov 17 2007|at Wsh|Washington 109|Portland 90  | | |
2007-08 season:|Sat Nov 17 2007|at ChB|Cha Bobcats 100|Seattle 84  | | |
2007-08 season:|Sat Nov 17 2007|at Ind|Indiana 117|Utah 97  | | |
2007-08 season:|Sat Nov 17 2007|at NJ|Miami 91|New Jersey 87  | | |
2007-08 season:|Sat Nov 17 2007|at Min|NO Hornets 100|Minnesota 82  | | |
2007-08 season:|Sat Nov 17 2007|at Mil|Milwaukee 105|Atlanta 96  | | |
2007-08 season:|Sat Nov 17 2007|at Hou|Phoenix 115|Houston 105  | | |
2007-08 season:|Sat Nov 17 2007|at Dal|Dallas 108|Memphis 105  | | |
2007-08 season:|Sat Nov 17 2007|at Den|Denver 115|New York 83  | | |
2007-08 season:|Sat Nov 17 2007|at LAC|Chicago 92|LA Clippers 73  | | |
2007-08 season:|Sun Nov 18 2007|at Tor|Golden State 106|Toronto 100  | | |
2007-08 season:|Sun Nov 18 2007|at Orl|Orlando 104|Boston 102  | | |
2007-08 season:|Sun Nov 18 2007|at Sac|Sacramento 105|Detroit 95  | | |
2007-08 season:|Sun Nov 18 2007|at LAL|LA Lakers 106|Chicago 78  | | |
2007-08 season:|Mon Nov 19 2007|at ChB|Cha Bobcats 101|Portland 92  | | |
