CUSA,Charlotte,8156,charlotte
CUSA,"FL Atlantic",2638,florida-atlantic
CUSA,"Florida Intl",2652,florida-international
CUSA,"Louisiana Tech",4218,louisiana-tech
CUSA,Marshall,4436,marshall
CUSA,MTSU,4785,middle-tennessee
CUSA,"North Texas",5584,north-texas
CUSA,"Old Dominion",5925,old-dominion
CUSA,Rice,6535,rice
CUSA,"Southern Miss",7365,southern-mississippi
CUSA,"UT San Antonio",7900,texas-san-antonio
CUSA,UAB,87,uab
CUSA,UTEP,7933,utep
CUSA,WKU,8761,western-kentucky
HL,"Cleveland St",1612,cleveland-state
HL,Detroit,2176,detroit
HL,"WI Green Bay",9055,green-bay
HL,"IL Chicago",3437,illinois-chicago
HL,IUPUI,3500,iupui
HL,"WI Milwaukee",9064,milwaukee
HL,"N Kentucky",5646,northern-kentucky
HL,Oakland,5783,oakland
HL,"Wright St",9156,wright-state
HL,"Youngstown St",9217,youngstown-state
Ivy,Brown,933,brown
Ivy,Columbia,1766,columbia
Ivy,Cornell,1910,cornell
Ivy,Dartmouth,2052,dartmouth
Ivy,Harvard,3162,harvard
Ivy,Penn,6103,pennsylvania
Ivy,Princeton,6339,princeton
Ivy,Yale,9177,yale
MAAC,Canisius,1201,canisius
MAAC,Fairfield,2527,fairfield
MAAC,Iona,3533,iona
MAAC,Manhattan,4360,manhattan
MAAC,Marist,4417,marist
MAAC,"Monmouth NJ",5023,monmouth
MAAC,Niagara,5444,niagara
MAAC,Quinnipiac,6434,quinnipiac
MAAC,Rider,6554,rider
MAAC,Siena,7163,siena
MAAC,"St Peter's",6906,st-peters
MEAC,Bethune-Cookman,691,bethune-cookman
MEAC,"Coppin St",1900,coppin-state
MEAC,"Delaware St",2118,delaware-state
MEAC,"Florida A&M",2633,florida-am
MEAC,Hampton,3112,hampton
MEAC,Howard,3359,howard
MEAC,"MD E Shore",4494,maryland-eastern-shore
MEAC,"Morgan St",5114,morgan-state
MEAC,"Norfolk St",5475,norfolk-state
MEAC,"NC A&T",5500,north-carolina-0
MEAC,"NC Central",5505,north-carolina-central
MEAC,"Savannah St",7058,savannah-state
MEAC,"S Carolina St",7250,south-carolina-state
"Mid-American Conference",Akron,66,akron
"Mid-American Conference","Ball St",501,ball-state
"Mid-American Conference","Bowling Green",821,bowling-green
"Mid-American Conference",Buffalo,979,buffalo
"Mid-American Conference","C Michigan",1404,central-michigan
"Mid-American Conference","E Michigan",2353,eastern-michigan
"Mid-American Conference",Kent,3771,kent-state
"Mid-American Conference","Miami OH",4725,miami-oh
"Mid-American Conference","N Illinois",5634,northern-illinois
"Mid-American Conference",Ohio,5825,ohio
"Mid-American Conference",Toledo,7978,toledo
"Mid-American Conference","W Michigan",8767,western-michigan
"Missouri Valley",Bradley,830,bradley
"Missouri Valley",Drake,2236,drake
"Missouri Valley",Evansville,2517,evansville
"Missouri Valley","Illinois St",3449,illinois-state
"Missouri Valley","Indiana St",3509,indiana-state
"Missouri Valley",Loyola-Chicago,4254,loyola-il
"Missouri Valley","Missouri St",4970,missouri-state
"Missouri Valley","S Illinois",7339,southern-illinois
"Missouri Valley","Northern Iowa",5641,uni
"Missouri Valley",Valparaiso,8361,valparaiso
"Mountain West","Air Force",55,air-force
"Mountain West","Boise St",771,boise-state
"Mountain West","Colorado St",1753,colorado-state
"Mountain West","Fresno St",2776,fresno-state
"Mountain West",Nevada,5316,nevada
"Mountain West","New Mexico",5371,new-mexico
