4948,8716,2017-11-26,79,83,neutral
5366,8716,2017-11-30,69,102
8432,8716,2017-12-05,61,68
8716,6236,2017-12-09,69,60
1900,8716,2017-12-20,38,77
2682,8716,2017-12-23,69,86
8716,5912,2017-12-29,85,79
8716,3731,2018-01-01,77,69
5886,8716,2018-01-06,76,89
557,8716,2018-01-09,54,57
8716,7918,2018-01-13,71,72
3717,8716,2018-01-15,71,66
5558,4757,2017-11-10,66,98
2265,4757,2017-11-14,88,81,neutral
7642,4757,2017-11-19,71,93
2157,4757,2017-11-23,51,73,neutral
1872,4757,2017-11-24,57,77,neutral
5492,4757,2017-11-26,45,63,neutral
5749,4757,2017-11-30,63,81
5279,4757,2017-12-03,57,86
4757,6696,2017-12-05,62,52
7399,4757,2017-12-09,63,88
5783,4757,2017-12-16,73,86,neutral
3354,4757,2017-12-18,62,107
4159,4757,2017-12-21,60,102
1612,4757,2017-12-29,61,111
7058,4757,2017-12-31,52,108
4474,4757,2018-01-04,61,91
4757,5850,2018-01-07,64,80
6696,4757,2018-01-10,72,76
4741,4757,2018-01-13,82,72
3219,8898,2017-11-04,53,90
5434,8898,2017-11-06,55,113
4961,8898,2017-11-10,57,109
1685,8898,2017-11-13,63,81
1098,8898,2017-11-20,82,92,neutral
4425,8898,2017-11-21,66,80,neutral
5749,8898,2017-11-22,67,66,neutral
7058,8898,2017-11-28,66,112
8898,557,2017-12-02,69,62
7268,8898,2017-12-05,85,95
8898,5912,2017-12-09,78,66
5886,8898,2017-12-16,91,83
333,8898,2017-12-19,80,89
2649,8898,2017-12-22,65,75
8898,1872,2017-12-30,72,62
3347,8898,2018-01-04,63,81
7278,8898,2018-01-07,57,95
8898,2292,2018-01-11,95,60
8898,8099,2018-01-13,72,69
7956,9170,2017-11-04,38,78
5105,9170,2017-11-10,49,101
6554,9170,2017-11-13,75,101
9170,9031,2017-11-16,80,70
3112,9170,2017-11-20,60,96
2861,9170,2017-11-23,64,83,neutral
304,9170,2017-11-24,102,86,neutral
557,9170,2017-11-28,63,76
1529,9170,2017-12-02,76,89
3771,9170,2017-12-06,70,96
1715,9170,2017-12-09,69,96
2321,9170,2017-12-16,66,68
4436,9170,2017-12-19,77,81
9170,5641,2017-12-22,77,67
9170,4425,2017-12-27,91,87
2157,9170,2017-12-30,72,77
1004,9170,2018-01-02,79,86
9170,6358,2018-01-06,72,81
9170,8415,2018-01-10,65,89
1950,9170,2018-01-13,70,92
532,402,2017-11-02,100,95
5475,402,2017-11-10,74,102
3509,402,2017-11-16,64,83,neutral
7788,402,2017-11-17,88,74,neutral
3288,402,2017-11-19,78,89,neutral
9025,402,2017-11-24,85,119
402,2085,2017-11-29,73,60
2855,402,2017-12-03,63,79
2825,402,2017-12-06,55,80
87,402,2017-12-09,80,85
4785,402,2017-12-16,70,76,neutral
402,5228,2017-12-19,81,77
1872,402,2017-12-23,64,89
1910,402,2017-12-30,77,98
402,7801,2018-01-02,94,84
316,402,2018-01-06,77,88
4920,402,2018-01-09,70,85
402,4936,2018-01-13,76,68
136,2954,2017-11-04,67,96
7906,2954,2017-11-10,69,97
3359,2954,2017-11-14,69,106
8325,2954,2017-11-18,66,79
5850,2954,2017-11-23,59,86,neutral
2625,2954,2017-11-24,111,105,neutral
7840,2954,2017-11-26,71,76,neutral
3473,2954,2017-11-29,68,103
1950,2954,2017-12-01,74,91
8415,2954,2017-12-05,88,72,neutral
2954,8551,2017-12-10,97,70
5538,2954,2017-12-16,83,89
3500,2954,2017-12-18,71,101
2954,7002,2017-12-21,70,72
6026,2954,2017-12-28,48,81
7034,2954,2017-12-30,52,101
2954,6161,2018-01-04,89,59
2954,4238,2018-01-06,85,66
6296,2954,2018-01-11,57,103
2954,7010,2018-01-13,75,65
1529,579,2017-11-01,89,61
2453,1529,2017-11-05,68,101
7058,1529,2017-11-10,77,107
8742,1529,2017-11-13,51,102
1900,1529,2017-11-16,54,97
979,1529,2017-11-20,67,73,neutral
6547,1529,2017-11-21,48,75,neutral
9162,1529,2017-11-22,53,78,neutral
103,1529,2017-11-27,51,83
1529,9170,2017-12-02,76,89
2625,1529,2017-12-09,66,60,neutral
4936,1529,2017-12-12,50,65
1529,8141,2017-12-16,77,63
343,1529,2017-12-19,49,77
1612,1529,2017-12-21,62,81
4636,1529,2017-12-31,48,82
1529,7788,2018-01-04,55,53
7358,1529,2018-01-07,56,76
1529,7278,2018-01-13,78,55
1529,1380,2018-01-16,49,38
420,1603,2017-11-02,56,80
7801,1603,2017-11-05,71,67
8742,1603,2017-11-10,57,85
5500,1603,2017-11-12,63,87
5825,1603,2017-11-16,76,81,neutral
3288,1603,2017-11-17,59,78,neutral
7788,1603,2017-11-19,67,60,neutral
7906,1603,2017-11-24,77,84
1603,5850,2017-11-29,79,65
8153,1603,2017-12-03,52,83
6987,1603,2017-12-09,59,81
2625,1603,2017-12-16,69,71,neutral
7242,1603,2017-12-19,48,64
4194,1603,2017-12-22,60,89
5511,1603,2017-12-30,62,78
1603,783,2018-01-03,74,70
4224,1603,2018-01-06,69,74
1603,5511,2018-01-11,77,78
4719,1603,2018-01-13,63,72
1603,5492,2018-01-16,79,87
