8165,"UNC Wilmington"
3112,Hampton
6296,Portland
4200,ULM
333,"Arkansas St"
7278,"South Florida"
5105,"Morehead St"
2176,Detroit
4961,"Missouri KC"
6434,Quinnipiac
2536,"F Dickinson"
7509,"St Francis NY"
2292,"East Carolina"
6161,Pepperdine
4613,"McNeese St"
7058,"Savannah St"
7813,"TN Martin"
2052,Dartmouth
691,Bethune-Cookman
3888,Lafayette
7809,Chattanooga
4245,"Loyola MD"
5114,"Morgan St"
6718,"Sacred Heart"
3592,"Jackson St"
1457,"Charleston So"
3599,Jacksonville
6326,Presbyterian
9055,"WI Green Bay"
6535,Rice
4540,"MA Lowell"
8450,VMI
3304,"Holy Cross"
7024,"San Jose St"
4417,Marist
9217,"Youngstown St"
7392,"Southern Univ"
2988,Grambling
1612,"Cleveland St"
3354,"Houston Bap"
227,"American Univ"
3766,Kennesaw
7856,"TAM C. Christi"
5475,"Norfolk St"
1545,Citadel
3473,"Incarnate Word"
7250,"S Carolina St"
4319,Maine
343,"Ark Pine Bluff"
5620,"Northern Arizona"
4494,"MD E Shore"
7254,"SC Upstate"
950,Bryant
5724,"Northwestern LA"
3359,Howard
4170,Longwood
1062,"CS Northridge"
157,"Alcorn St"
103,"Alabama St"
1501,"Chicago St"
2633,"Florida A&amp;M"
82,"Alabama A&amp;M"
1900,"Coppin St"
2118,"Delaware St"
4942,"MS Valley St"
