1905,CIN,CIN,,5,79,74,,,N,N,Cincinnati Reds,Palace of the Fans
1905,CLE,CLE,,5,76,78,,,N,N,Cleveland Naps,League Park I
1905,DET,DET,,3,79,74,,,N,N,Detroit Tigers,Bennett Park
1905,NY1,SFG,,1,105,48,,,Y,Y,New York Giants,Polo Grounds III
1905,NYA,NYY,,6,71,78,,,N,N,New York Highlanders,Hilltop Park
1905,PHA,OAK,,1,92,56,,,Y,N,Philadelphia Athletics,Columbia Park
1905,PHI,PHI,,4,83,69,,,N,N,Philadelphia Phillies,Baker Bowl
1905,PIT,PIT,,2,96,57,,,N,N,Pittsburgh Pirates,Exposition Park
1905,SLA,BAL,,8,54,99,,,N,N,St. Louis Browns,Sportsman's Park III
1905,SLN,STL,,6,58,96,,,N,N,St. Louis Cardinals,Robison Field
1905,WS1,MIN,,7,64,87,,,N,N,Washington Senators,American League Park II
1906,BOS,BOS,,8,49,105,,,N,N,Boston Americans,Huntington Avenue Grounds
1906,BRO,LAD,,5,66,86,,,N,N,Brooklyn Superbas,Washington Park III
1906,BSN,ATL,,8,49,102,,,N,N,Boston Beaneaters,South End Grounds III
1906,CHA,CHW,,1,93,58,,,Y,Y,Chicago White Sox,South Side Park II
1906,CHN,CHC,,1,116,36,,,Y,N,Chicago Cubs,West Side Park II
1906,CIN,CIN,,6,64,87,,,N,N,Cincinnati Reds,Palace of the Fans
1906,CLE,CLE,,3,89,64,,,N,N,Cleveland Naps,League Park I
1906,DET,DET,,6,71,78,,,N,N,Detroit Tigers,Bennett Park
1906,NY1,SFG,,2,96,56,,,N,N,New York Giants,Polo Grounds III
1906,NYA,NYY,,2,90,61,,,N,N,New York Highlanders,Hilltop Park
1906,PHA,OAK,,4,78,67,,,N,N,Philadelphia Athletics,Columbia Park
1906,PHI,PHI,,4,71,82,,,N,N,Philadelphia Phillies,Baker Bowl
1906,PIT,PIT,,3,93,60,,,N,N,Pittsburgh Pirates,Exposition Park
1906,SLA,BAL,,5,76,73,,,N,N,St. Louis Browns,Sportsman's Park III
1906,SLN,STL,,7,52,98,,,N,N,St. Louis Cardinals,Robison Field
1906,WS1,MIN,,7,55,95,,,N,N,Washington Senators,American League Park II
1907,BOS,BOS,,7,59,90,,,N,N,Boston Americans,Huntington Avenue Grounds
1907,BRO,LAD,,5,65,83,,,N,N,Brooklyn Superbas,Washington Park III
1907,BSN,ATL,,7,58,90,,,N,N,Boston Doves,South End Grounds III
1907,CHA,CHW,,3,87,64,,,N,N,Chicago White Sox,South Side Park II
1907,CHN,CHC,,1,107,45,,,Y,Y,Chicago Cubs,West Side Park II
1907,CIN,CIN,,6,66,87,,,N,N,Cincinnati Reds,Palace of the Fans
1907,CLE,CLE,,4,85,67,,,N,N,Cleveland Naps,League Park I
1907,DET,DET,,1,92,58,,,Y,N,Detroit Tigers,Bennett Park
1907,NY1,SFG,,4,82,71,,,N,N,New York Giants,Polo Grounds III
1907,NYA,NYY,,5,70,78,,,N,N,New York Highlanders,Hilltop Park
1907,PHA,OAK,,2,88,57,,,N,N,Philadelphia Athletics,Columbia Park
1907,PHI,PHI,,3,83,64,,,N,N,Philadelphia Phillies,Baker Bowl
1907,PIT,PIT,,2,91,63,,,N,N,Pittsburgh Pirates,Exposition Park
1907,SLA,BAL,,6,69,83,,,N,N,St. Louis Browns,Sportsman's Park III
1907,SLN,STL,,8,52,101,,,N,N,St. Louis Cardinals,Robison Field
1907,WS1,MIN,,8,49,102,,,N,N,Washington Senators,American League Park II
1908,BOS,BOS,,5,75,79,,,N,N,Boston Red Sox,Huntington Avenue Grounds
1908,BRO,LAD,,7,53,101,,,N,N,Brooklyn Superbas,Washington Park III
1908,BSN,ATL,,6,63,91,,,N,N,Boston Doves,South End Grounds III
1908,CHA,CHW,,3,88,64,,,N,N,Chicago White Sox,South Side Park II
1908,CHN,CHC,,1,99,55,,,Y,Y,Chicago Cubs,West Side Park II
1908,CIN,CIN,,5,73,81,,,N,N,Cincinnati Reds,Palace of the Fans
1908,CLE,CLE,,2,90,64,,,N,N,Cleveland Naps,League Park I
1908,DET,DET,,1,90,63,,,Y,N,Detroit Tigers,Bennett Park
1908,NY1,SFG,,2,98,56,,,N,N,New York Giants,Polo Grounds III
1908,NYA,NYY,,8,51,103,,,N,N,New York Highlanders,Hilltop Park
1908,PHA,OAK,,6,68,85,,,N,N,Philadelphia Athletics,Columbia Park
1908,PHI,PHI,,4,83,71,,,N,N,Philadelphia Phillies,Baker Bowl
1908,PIT,PIT,,2,98,56,,,N,N,Pittsburgh Pirates,Exposition Park
1908,SLA,BAL,,4,83,69,,,N,N,St. Louis Browns,Sportsman's Park III
1908,SLN,STL,,8,49,105,,,N,N,St. Louis Cardinals,Robison Field
1908,WS1,MIN,,7,67,85,,,N,N,Washington Senators,American League Park II
1909,BOS,BOS,,3,88,63,,,N,N,Boston Red Sox,Huntington Avenue Grounds
1909,BRO,LAD,,6,55,98,,,N,N,Brooklyn Superbas,Washington Park III
1909,BSN,ATL,,8,45,108,,,N,N,Boston Doves,South End Grounds III
