amalfjo01,1934,USA,CA,,175,71,R,R,1954-05-02,1967-06-27,amalfjo01,-1,-1
amarari01,1962,USA,CA,,175,72,R,R,1991-05-27,2000-06-14,amarari01,-1,-1
amarial01,1989,Venezuela,Anzoategui,,160,66,L,R,2011-04-26,2017-10-01,amarial01,-1,-1
amaroru01,1936,Mexico,Tamaulipas,2017,170,71,R,R,1958-06-29,1969-09-28,amaroru01,-1,-1
amaroru02,1965,USA,PA,,170,70,B,R,1991-06-08,1998-09-27,amaroru02,-1,-1
amezaal01,1978,Mexico,Sonora,,165,71,B,R,2002-05-24,2011-09-04,amezaal01,-1,-1
amorosa01,1930,Cuba,Matanzas,1992,170,67,L,L,1952-08-22,1960-10-02,amorosa01,-1,-1
anderbr01,1964,USA,MD,,170,73,L,L,1988-04-04,2002-05-20,anderbr01,-1,0.0
anderda02,1960,USA,KY,,185,74,R,R,1983-05-08,1992-10-03,anderda02,-1,-1
anderga01,1972,USA,CA,,190,75,L,L,1994-07-27,2010-08-06,anderga01,-1,0.0022727272727272726
anderge01,1889,USA,OH,1962,160,68,L,R,1914-05-26,1918-09-02,anderge01,-1,-1
anderha02,1931,USA,MD,1998,205,75,L,R,1957-04-18,1961-05-05,anderha02,-1,-1
anderji01,1957,USA,CA,,170,72,R,R,1978-07-02,1984-09-26,anderji01,-1,-1
anderjo01,1873,Norway,,1949,180,74,B,R,1894-09-08,1908-10-02,anderjo01,-1,-1
anderma02,1974,USA,AL,,190,70,L,R,1998-09-08,2009-04-10,anderma02,-1,-1
andermi01,1951,USA,SC,,200,74,R,R,1971-09-02,1979-09-30,andermi01,-1,-1
andinro01,1984,USA,FL,,185,71,R,R,2005-09-04,2016-09-10,andinro01,-1,-1
andremi01,1943,USA,CA,,195,75,R,R,1966-09-18,1973-09-29,andremi01,-1,-1
andrero01,1952,USA,CA,,185,72,R,R,1975-04-07,1979-09-26,andrero01,-1,-1
andresh01,1971,USA,TX,,215,73,R,R,1995-04-26,2002-09-29,andresh01,-1,-1
andruel01,1988,Venezuela,Aragua,,200,72,R,R,2009-04-06,2017-10-01,andruel01,-1,-1
ankieri01,1979,USA,FL,,210,73,L,L,1999-08-23,2013-06-08,ankieri01,-1,-1
anthoer01,1967,USA,CA,,195,74,L,L,1989-07-28,1997-09-27,anthoer01,-1,-1
aokino01,1982,Japan,Miyazaki,,180,69,L,R,2012-04-06,2017-10-01,aokino01,-1,-1
