retro_game_id,year,st_fl,regseason_fl,playoffs_fl,game_type,game_type_des,game_id,home_team_id,home_team_lg,away_team_id,away_team_lg,interleague_fl,inning,bat_home_id,park_id,park_name,park_lock,pit_id,bat_id,pit_hand_cd,bat_hand_cd,pa_ball_ct,pa_strike_ct,outs_ct,pitch_seq,pa_terminal_fl,pa_event_cd,start_bases_cd,end_bases_cd,event_outs_ct,ab_number,pitch_res,pitch_des,pitch_id,x,y,start_speed,end_speed,sz_top,sz_bot,pfx_x,pfx_z,px,pz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,break_y,break_angle,break_length,pitch_type,pitch_type_seq,type_conf,zone,spin_dir,spin_rate,sv_id
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,9,0,22,Dodger Stadium,"Los Angeles, CA",445276,543807,R,R,2,2,0,CSBBC,T,3,0,0,1,57,C,"Called Strike",422,92.48,150.09,92.7,84.9,3.49,1.601,5.7310471989975955,7.791145339515741,0.6702089265685558,3.334349504593476,-1.5398115828006027,49.99999999999996,6.166015212659938,3.9038480299170435,-134.79786887448972,-4.2043190017714975,10.574194275511838,28.53738645682014,-17.798825043492375,23.8,-31.3,4.8,FC,FC|FC|FC|FC|FC,.899,3,143.663,1920.641,171025_023419
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,9,0,22,Dodger Stadium,"Los Angeles, CA",445276,608324,R,R,0,0,1,B,F,2,0,0,1,58,B,"Ball",426,67.51,141.22,92.0,84.2,3.371,1.535,7.081267134302696,8.419612454275187,1.2602291379789814,3.6338357506819534,-1.4410585392792405,49.99999999999999,6.14067865941275,4.710868099095429,-133.86576371631395,-3.4411195528429457,12.87248760796138,28.415384058115585,-16.868686546221916,23.8,-38.1,5.0,FC,FC,.900,12,139.936,2167.392,171025_023457
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,9,0,22,Dodger Stadium,"Los Angeles, CA",445276,608324,R,R,1,0,1,BB,F,2,0,0,1,58,B,"Ball",427,49.35,145.75,90.9,82.7,3.371,1.535,6.016889022951359,12.335749730689477,1.747897456722664,3.3936624873530947,-1.4502675544327368,49.99999999999998,6.399768065292819,6.2870619205126,-132.0058698888679,-5.798063267251725,10.566193987633964,29.3537977256333,-10.511371358931774,23.8,-45.3,3.9,FC,FC|FC,.898,12,154.000,2648.896,171025_023516
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,9,0,22,Dodger Stadium,"Los Angeles, CA",445276,608324,R,R,2,0,1,BBF,F,2,0,0,1,58,F,"Foul",428,116.39,158.68,91.2,82.8,3.371,1.535,4.511240920616805,12.14222842436081,0.025615047861422983,3.016689521231423,-1.6078126689439745,49.99999999999999,6.111550978852462,2.741155839200652,-132.61965337532405,-6.076515632451809,8.022725872668786,28.745352093851807,-10.580484424933154,23.8,-35.9,3.3,FC,FC|FC|FC,.898,2,159.620,2519.974,171025_023546
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,9,0,22,Dodger Stadium,"Los Angeles, CA",445276,608324,R,R,2,1,1,BBFS,F,2,0,0,1,58,S,"Swinging Strike",429,94.81,151.2,90.5,83.0,3.371,1.535,5.876582922264543,11.840491842640798,0.5858379992347349,3.1980011452012977,-1.4973210142204978,50.00000000000001,6.306175556634196,3.4340925292371924,-131.6506514761164,-5.915143374116445,10.349103626120405,27.04844846529541,-11.32205366677053,23.8,-41.3,3.8,FC,FC|FC|FC|FC,.899,3,153.606,2565.322,171025_023623
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,9,0,22,Dodger Stadium,"Los Angeles, CA",445276,608324,R,R,2,2,1,BBFSF,F,2,0,0,1,58,F,"Foul",430,64.7,163.65,90.9,84.1,3.371,1.535,5.8070863842766425,10.488060546751733,1.3219838251716505,2.7646197761718434,-1.5145788086175749,50.00000000000007,6.180909548366425,5.449077013717655,-132.20709710059114,-6.370988642892265,10.353908821620447,26.236039916630794,-13.47406453161403,23.8,-37.7,4.2,FC,FC|FC|FC|FC|FC,.900,12,151.029,2345.599,171025_023653
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,9,0,22,Dodger Stadium,"Los Angeles, CA",445276,608324,R,R,2,2,1,BBFSFB,F,2,0,0,1,58,B,"Ball",431,56.87,210.6,91.6,84.3,3.371,1.535,4.61047787324043,9.96627050541035,1.4751401470544852,1.0161583422637592,-1.3658569909275688,49.999999999999915,6.01286128665307,5.891040988241432,-132.93215263783935,-10.412418559943845,8.275571998353529,27.66374635356678,-14.285102683532742,23.8,-29.8,4.3,FC,FC|FC|FC|FC|FC|FC,.901,14,155.176,2151.129,171025_023718
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,9,0,22,Dodger Stadium,"Los Angeles, CA",445276,608324,R,R,3,2,1,BBFSFBF,F,2,0,0,1,58,F,"Foul",432,98.34,194.95,92.4,84.9,3.371,1.535,4.187035588920616,11.482355676854604,0.4294272352388909,1.5924357848966093,-1.578750651987078,50.00000000000002,5.960831529237004,3.879446001793204,-134.21173999586958,-9.452379436671226,7.634463416775716,29.13936593020498,-11.237607369898297,23.8,-32.5,3.5,FC,FC|FC|FC|FC|FC|FC|FC,.899,9,159.967,2408.922,171025_023748
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,9,0,22,Dodger Stadium,"Los Angeles, CA",445276,608324,R,R,3,2,1,BBFSFBFX,T,2,0,0,1,58,X,"In play, out(s)",433,88.16,209.48,92.1,85.4,3.371,1.535,5.766197818720004,8.750133350474949,0.7052955274985767,1.0773612281605558,-1.627151107180844,50.00000000000003,5.941705149736655,4.1937085365194875,-133.8860371237842,-9.832798335176982,10.52827645861003,27.30786447720932,-16.197520199317328,23.8,-31.9,4.7,FC,FC|FC|FC|FC|FC|FC|FC|FC,.902,14,146.617,2073.301,171025_023842
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,9,0,22,Dodger Stadium,"Los Angeles, CA",445276,514888,R,R,0,0,2,X,T,2,0,0,1,59,X,"In play, out(s)",437,90.53,172.55,93.2,86.2,3.104,1.448,4.922130785164422,10.792352730349592,0.6753642427856329,2.4607624555648275,-1.4861780798689292,49.99999999999998,6.119970934287514,4.0827166159068,-135.46469002065658,-7.593927971818436,9.223288395948916,27.25924301576638,-11.950900077149246,23.8,-36.6,3.6,FC,FC,.899,6,155.485,2380.446,171025_023927
