adkindo01,1872,WI,Troy,adkindo01,Doc Adkins
adkingr01,1897,AR,Jacksonville,adkingr01,Grady Adkins
adkinhe01,1874,MO,Fulton,adkinhe01,Harry Atkinson
adkinjo01,1977,WV,Huntington,adkinjo01,Jon Adkins
adkinst01,1964,IL,Chicago,adkinst01,Steve Adkins
adlemti01,1987,NY,Staten Island,adlemti01,Tim Adleman
adlesda01,1943,CA,Long Beach,adlesda01,Dave Adlesh
afenitr01,1963,CA,Escondido,afenitr01,Troy Afenir
affelje01,1979,AZ,Phoenix,affelje01,Jeremy Affeldt
agbaybe01,1971,HI,Honolulu,agbaybe01,Benny Agbayani
ageeto01,1942,AL,Magnolia,ageeto01,Tommie Agee
agganha01,1929,MA,Lynn,agganha01,Harry Agganis
aglerjo01,1887,OH,Coshocton,aglerjo01,Joe Agler
agnewsa01,1887,MO,Farmington,agnewsa01,Sam Agnew
aguilch01,1979,CA,Redwood City,aguilch01,Chris Aguila
aguilri01,1961,CA,San Gabriel,aguilri01,Rick Aguilera
aguirha01,1931,CA,Azusa,aguirha01,Hank Aguirre
ahearch01,1858,NY,Troy,ahearch01,Bill Ahearn
ahearpa01,1969,CA,San Francisco,ahearpa01,Pat Ahearne
ahmedni01,1990,MA,Springfield,ahmedni01,Nick Ahmed
aikenwi01,1954,SC,Seneca,aikenwi01,Willie Aikens
aingeda01,1959,OR,Eugene,aingeda01,Danny Ainge
ainswku01,1978,LA,Baton Rouge,ainswku01,Kurt Ainsworth
aitchra01,1887,SD,Tyndall,aitchra01,Raleigh Aitchison
aitonge01,1890,KS,Kingman,aitonge01,George Aiton
akejo01,1861,PA,Altoona,akejo01,John Ake
akerfda01,1962,CO,Denver,akerfda01,Darrel Akerfelds
akerja01,1940,CA,Tulare,akerja01,Jack Aker
akersbi01,1904,TN,Chattanooga,akersbi01,Bill Akers
akersje01,1887,IN,Shelbyville,akersje01,Jerry Akers
albanjo01,1933,NY,New York,albanjo01,Joe Albanese
alberbu01,1950,PA,Williamsport,alberbu01,Butch Alberts
albercy01,1882,MI,Grand Rapids,albercy01,Cy Alberts
albergu01,1860,PA,Reading,albergu01,Gus Alberts
alberma01,1983,TX,Houston,alberma01,Matt Albers
albosed01,1918,MI,Saginaw,albosed01,Ed Albosta
albreed01,1929,MO,St. Louis,albreed01,Ed Albrecht
albrija01,1921,FL,St. Petersburg,albrija01,Jack Albright
alburvi01,1947,FL,Key West,alburvi01,Vic Albury
alcocsc01,1885,OH,Wooster,alcocsc01,Scotty Alcock
alderda01,1918,NE,Belden,alderda01,Dale Alderson
aldremi01,1961,CA,Carmel,aldremi01,Mike Aldrete
aldresc01,1968,MI,Flint,aldresc01,Scott Aldred
aldrico01,1979,TX,San Angelo,aldrico01,Cory Aldridge
aldrija01,1961,LA,Alexandria,aldrija01,Jay Aldrich
aldrivi01,1893,IN,Crane,aldrivi01,Vic Aldridge
alenoch01,1917,MO,St. Louis,alenoch01,Chuck Aleno
alexada01,1903,TN,Greeneville,alexada01,Dale Alexander
alexado01,1950,AL,Cordova,alexado01,Doyle Alexander
alexaga01,1953,CA,Los Angeles,alexaga01,Gary Alexander
alexage01,1968,LA,Baton Rouge,alexage01,Gerald Alexander
alexahu01,1917,MO,Buffalo,alexahu01,Hugh Alexander
alexama01,1947,LA,Shreveport,alexama01,Matt Alexander
alexani01,1858,IL,Pana,alexani01,Nin Alexander
alexape01,1887,NE,Elba,alexape01,Pete Alexander
alexasc01,1989,CA,Santa Rosa,alexasc02,Scott Alexander
alexawa01,1891,GA,Atlanta,alexawa01,Walt Alexander
alfarja01,1977,TX,San Antonio,alfarja01,Jason Alfaro
alforan01,1994,MS,Columbia,alforan01,Anthony Alford
allanan01,1961,VA,Richmond,allanan01,Andy Allanson
allarbr01,1958,IL,Spring Valley,allarbr01,Brian Allard
allenbe01,1939,OH,East Liverpool,allenbe01,Bernie Allen
allenbo01,1867,OH,Marion,allenbo01,Bob Allen
allenbo02,1894,WI,Muscoda,allenbo02,Bob Allen
allenbo03,1914,TN,Smithville,allenbo03,Bob Allen
allenbo04,1937,TX,Tatum,allenbo04,Bob Allen
allenbr01,1986,TX,Conroe,allenbr01,Brandon Allen
allench01,1975,TX,Dallas,allench01,Chad Allen
allenco01,1988,FL,Orlando,allenco01,Cody Allen
allendi01,1942,PA,Wampum,allendi01,Dick Allen
allendu01,1972,OK,Oklahoma City,allendu01,Dusty Allen
allenet01,1904,OH,Cincinnati,allenet01,Ethan Allen
allenfr01,1888,AL,Newbern,allenfr01,Frank Allen
allenga01,1955,CA,Culver City,allenga01,Gary Allenson
allengr01,1993,CA,San Diego,allengr01,Greg Allen
allenha01,1846,ME,Augusta,allenha01,Ham Allen
allenha02,1940,PA,Wampum,allenha02,Hank Allen
allenhe01,1863,CT,Westport,allenhe01,Hezekiah Allen
allenho01,1899,FL,DeLand,allenho01,Horace Allen
allenja01,1855,IL,Woodstock,allenja01,Jack Allen
allenja02,1958,WA,Yakima,allenja02,Jamie Allen
allenje01,1972,IN,Anderson,allenje01,Jermaine Allensworth
allenjo01,1890,WV,Berkeley Springs,allenjo01,John Allen
allenjo02,1904,NC,Lenoir,allenjo02,Johnny Allen
allenki01,1953,CA,Fontana,allenki01,Kim Allen
allenll01,1950,CA,Merced,allenll01,Lloyd Allen
allenlu01,1978,GA,Covington,allenlu01,Luke Allen
allenmy01,1854,NY,Kingston,allenmy01,Myron Allen
allenne01,1958,KS,Kansas City,allenne01,Neil Allen
allenni01,1888,KS,Norton,allenni01,Nick Allen
allenpe01,1868,OH,Columbiana,allenpe01,Pete Allen
allenro01,1943,PA,Wampum,allenro01,Ron Allen
allenro02,1959,CA,Los Angeles,allenro02,Rod Allen
allensl01,1886,MO,West Plains,allensl01,Sled Allen
alleyge01,1940,VA,Richmond,alleyge01,Gene Alley
alliebo01,1952,MA,New Bedford,alliebo01,Bob Allietta
alliega01,1931,NC,Statesville,alliega01,Gair Allie
allisan01,1848,NY,New York,allisan01,Andy Allison
allisar01,1849,PA,Philadelphia,allisar01,Art Allison
allisbi01,1850,NY,New York,allisbi01,Bill Allison
allisbo01,1934,MO,Raytown,allisbo01,Bob Allison
allisda01,1966,VA,Front Royal,allisda01,Dana Allison
allisdo01,1846,PA,Philadelphia,allisdo01,Doug Allison
allisma01,1887,KY,Owensboro,allisma01,Mack Allison
allismi01,1890,MI,Elk Rapids,allismi01,Milo Allison
allrebe01,1965,AZ,Mesa,allrebe01,Beau Allred
almanar01,1972,TX,El Paso,almanar01,Armando Almanza
almonbi01,1952,RI,Providence,almonbi01,Bill Almon
almoral01,1994,FL,Hialeah,almoral01,Albert Almora
aloumo01,1966,GA,Atlanta,aloumo01,Moises Alou
alperwh01,1879,PA,Etna,alperwh01,Whitey Alpermann
alstode01,1952,NY,Valhalla,alstode01,Dell Alston
alstoga01,1971,NY,Mount Vernon,alstoga01,Garvin Alston
alstoto01,1926,NC,Greensboro,alstoto01,Tom Alston
alstowa01,1911,OH,Venice,alstowa01,Walter Alston
altavda01,1992,PA,McKeesport,altavda01,Dan Altavilla
altener01,1894,OH,Avon,altener01,Ernie Alten
altenje01,1893,MI,Ashley,altenje01,Jesse Altenburg
altizda01,1876,IL,Pearl,altizda01,Dave Altizer
altmage01,1933,NC,Goldsboro,altmage01,George Altman
altobjo01,1932,MI,Detroit,altobjo01,Joe Altobelli
altroni01,1876,OH,Cincinnati,altroni01,Nick Altrock
alusige01,1935,PA,Ashley,alusige01,George Alusik
alvarab01,1982,CA,Los Angeles,alvarab01,Abe Alvarez
alvarjo01,1956,FL,Tampa,alvarjo01,Jose Alvarez
alvarju01,1973,FL,Coral Gables,alvarju01,Juan Alvarez
alvarrj01,1991,FL,West Palm Beach,alvarrj01,R. J. Alvarez
alvisma01,1938,TX,Jasper,alvisma01,Max Alvis
alvorbi01,1863,MO,St. Louis,alvorbi01,Billy Alvord
alyeabr01,1940,NJ,Passaic,alyeabr01,Brant Alyea
amalfjo01,1934,CA,San Pedro,amalfjo01,Joey Amalfitano
amarari01,1962,CA,Visalia,amarari01,Rich Amaral
amaroru02,1965,PA,Philadelphia,amaroru02,Ruben Amaro
amblewa01,1915,PA,Abington,amblewa01,Wayne Ambler
ambrech01,1979,TX,Beaumont,ambrech01,Chip Ambres
ambrihe01,1984,CA,Orange,ambrihe01,Hector Ambriz
amelued01,1959,CA,Fullerton,amelued01,Ed Amelung
amesre01,1882,OH,Warren,amesre01,Red Ames
amesst01,1988,WA,Vancouver,amesst01,Steve Ames
amoledo01,1874,PA,Coatesville,amoledo01,Doc Amole
anckewa01,1893,NY,New York,anckewa01,Walter Ancker
anderal01,1914,GA,Gainesville,anderal01,Alf Anderson
anderal02,1964,OH,Lancaster,anderal02,Allan Anderson
anderan01,1922,WA,Bremerton,anderan01,Andy Anderson
anderbi01,1895,MA,Boston,anderbi01,Bill Anderson
anderbo01,1935,IN,East Chicago,anderbo01,Bob Anderson
anderbr01,1964,MD,Silver Spring,anderbr01,Brady Anderson
anderbr02,1972,VA,Portsmouth,anderbr02,Brian Anderson
anderbr03,1982,AZ,Tucson,anderbr03,Brian Anderson
anderbr04,1988,TX,Midland,anderbr04,Brett Anderson
anderbr05,1986,CA,Thousand Oaks,anderbr05,Bryan Anderson
anderbr06,1993,OK,Edmond,anderbr06,Brian Anderson
anderbu01,1956,NY,Westbury,anderbu01,Bud Anderson
anderch01,1987,TX,Wichita Falls,anderch01,Chase Anderson
anderco01,1990,CA,Quincy,anderco01,Cody Anderson
andercr01,1938,DC,Washington,andercr01,Craig Anderson
anderda01,1868,PA,Chester,anderda01,Dave Anderson
anderda02,1960,KY,Louisville,anderda02,Dave Anderson
anderdr01,1981,NE,Kearney,anderdr01,Drew Anderson
anderdr02,1994,NV,Reno,anderdr02,Drew Anderson
anderdw01,1947,CA,Oakland,anderdw01,Dwain Anderson
anderfe01,1918,KS,Maple City,anderfe01,Ferrell Anderson
anderfr01,1885,NC,Calahan,anderfr01,Fred Anderson
anderga01,1972,CA,Los Angeles,anderga01,Garret Anderson
anderge01,1889,OH,Cleveland,anderge01,George Anderson
andergo01,1880,OH,Cleveland,andergo01,Goat Anderson
anderha01,1904,MO,St. Louis,anderha01,Hal Anderson
anderha02,1931,MD,North East,anderha02,Harry Anderson
anderja01,1979,IL,Danville,anderja01,Jason Anderson
anderji01,1957,CA,Los Angeles,anderji01,Jim Anderson
anderji02,1976,VA,Portsmouth,anderji02,Jimmy Anderson
anderjo02,1929,MN,St. Paul,anderjo02,John Anderson
anderjo03,1982,KY,Somerset,anderjo03,Josh Anderson
anderke01,1963,SC,Florence,anderke01,Kent Anderson
anderla01,1952,CA,Maywood,anderla01,Larry Anderson
anderla02,1953,OR,Portland,anderla02,Larry Andersen
anderla03,1987,CA,Oakland,anderla03,Lars Anderson
anderma01,1976,KY,Louisville,anderma01,Matt Anderson
anderma02,1974,AL,Montgomery,anderma02,Marlon Anderson
andermi01,1951,SC,Florence,andermi01,Mike Anderson
andermi02,1966,TX,Austin,andermi02,Mike Anderson
anderre01,1912,IA,Lawton,anderre01,Red Anderson
anderri01,1953,CA,Inglewood,anderri01,Rick Anderson
anderri02,1956,WA,Everett,anderri02,Rick Anderson
