4540,MA Lowell
8450,VMI
3304,Holy Cross
2988,Grambling
9217,Youngstown St
7392,Southern Univ
7024,San Jose St
1612,Cleveland St
4417,Marist
3354,Houston Bap
227,American Univ
3766,Kennesaw
7856,TAM C. Christi
1545,Citadel
3473,Incarnate Word
5475,Norfolk St
7250,S Carolina St
343,Ark Pine Bluff
4319,Maine
5620,Northern Arizona
4494,MD E Shore
7254,SC Upstate
4170,Longwood
950,Bryant
3359,Howard
5724,Northwestern LA
1062,CS Northridge
157,Alcorn St
103,Alabama St
1501,Chicago St
2633,Florida A&amp;M
82,Alabama A&amp;M
1900,Coppin St
2118,Delaware St
4942,MS Valley St
10686,Big 12
14028,Southeastern
10636,Big East
10423,Atlantic Coast
10678,Big 10
107818,Pac 12
200137,American Athletic
12734,Mountain West
12684,Missouri Val
10447,Atlantic 10
14553,West Coast
12526,Mid-American
11312,Conference USA
11246,Colonial
74834,Summit Lg
14576,Western Athletic
14238,Sun Belt
14064,Southern
10695,Big West
12475,Metro Atlantic
10668,Big Sky
12206,Ivy League
13193,OH Valley
10344,America East
3339,Horizon
10672,Big South
13333,Patriot League
14112,Southland
10443,Atlantic Sun
13046,Northeast
12545,Mid-Eastern AC
14163,Southwestern AC
