aaron-suttles,alabama,penn-state,georgia,tcu,wisconsin,miami-fl,clemson,oklahoma,ohio-state,notre-dame,washington,oklahoma-state,usc,virginia-tech,north-carolina-state,michigan-state,michigan,auburn,south-florida,stanford,washington-state,ucf,memphis,navy,lsu
adam-jude,alabama,penn-state,wisconsin,tcu,georgia,miami-fl,oklahoma,ohio-state,clemson,washington,washington-state,usc,south-florida,north-carolina-state,virginia-tech,oklahoma-state,notre-dame,michigan-state,michigan,auburn,ucf,memphis,san-diego-state,stanford,west-virginia
adam-zucker,alabama,penn-state,georgia,tcu,wisconsin,oklahoma,ohio-state,miami-fl,clemson,oklahoma-state,notre-dame,virginia-tech,washington-state,usc,washington,south-florida,michigan-state,north-carolina-state,ucf,michigan,texas-am,lsu,auburn,west-virginia,stanford
andy-bitter,alabama,georgia,tcu,penn-state,ohio-state,clemson,oklahoma,wisconsin,miami-fl,usc,oklahoma-state,notre-dame,virginia-tech,north-carolina-state,washington,stanford,ucf,michigan-state,michigan,west-virginia,south-florida,washington-state,auburn,memphis,san-diego-state
andy-greder,alabama,georgia,penn-state,ohio-state,tcu,wisconsin,clemson,oklahoma-state,oklahoma,washington,miami-fl,usc,south-florida,virginia-tech,notre-dame,north-carolina-state,michigan,washington-state,michigan-state,ucf,west-virginia,stanford,lsu,auburn,memphis
bill-landis,alabama,georgia,penn-state,tcu,oklahoma,ohio-state,clemson,wisconsin,miami-fl,usc,notre-dame,virginia-tech,washington-state,michigan-state,michigan,north-carolina-state,oklahoma-state,washington,ucf,stanford,south-florida,west-virginia,memphis,auburn,iowa-state
bob-asmussen,alabama,penn-state,georgia,wisconsin,ohio-state,tcu,miami-fl,south-florida,usc,clemson,michigan,oklahoma,oklahoma-state,washington,virginia-tech,washington-state,ucf,notre-dame,north-carolina-state,michigan-state,stanford,lsu,auburn,west-virginia,memphis
brent-axe,alabama,georgia,penn-state,tcu,clemson,wisconsin,miami-fl,oklahoma,ohio-state,notre-dame,oklahoma-state,virginia-tech,north-carolina-state,washington,south-florida,michigan-state,michigan,washington-state,usc,ucf,stanford,lsu,memphis,auburn,west-virginia
bret-bloomquist,alabama,penn-state,georgia,tcu,wisconsin,ohio-state,miami-fl,clemson,oklahoma,oklahoma-state,washington,usc,south-florida,virginia-tech,notre-dame,michigan-state,michigan,washington-state,north-carolina-state,ucf,west-virginia,lsu,auburn,stanford,memphis
brian-howell,alabama,penn-state,georgia,tcu,ohio-state,clemson,wisconsin,miami-fl,usc,oklahoma-state,virginia-tech,oklahoma,south-florida,notre-dame,washington,north-carolina-state,stanford,michigan-state,michigan,washington-state,lsu,auburn,ucf,texas-am,west-virginia
chris-murray,alabama,georgia,penn-state,wisconsin,tcu,miami-fl,clemson,oklahoma,ohio-state,virginia-tech,washington-state,usc,washington,oklahoma-state,notre-dame,michigan-state,michigan,south-florida,north-carolina-state,ucf,iowa-state,west-virginia,auburn,mississippi-state,san-diego-state
chuck-carlton,alabama,penn-state,georgia,tcu,wisconsin,ohio-state,miami-fl,clemson,oklahoma,oklahoma-state,usc,notre-dame,washington,michigan-state,washington-state,north-carolina-state,virginia-tech,michigan,south-florida,stanford,ucf,west-virginia,texas-am,lsu,auburn
dave-foster,alabama,penn-state,georgia,tcu,wisconsin,miami-fl,usc,oklahoma,ohio-state,notre-dame,clemson,washington,south-florida,oklahoma-state,virginia-tech,michigan-state,washington-state,michigan,north-carolina-state,ucf,memphis,san-diego-state,stanford,lsu,auburn
dave-reardon,alabama,georgia,penn-state,tcu,wisconsin,ohio-state,notre-dame,miami-fl,clemson,oklahoma,michigan-state,north-carolina-state,ucf,oklahoma-state,south-florida,virginia-tech,usc,michigan,washington,auburn,washington-state,stanford,texas-am,west-virginia,iowa-state
dave-southorn,alabama,georgia,penn-state,tcu,wisconsin,ohio-state,miami-fl,clemson,usc,oklahoma,washington,oklahoma-state,michigan,north-carolina-state,virginia-tech,south-florida,notre-dame,washington-state,michigan-state,ucf,auburn,stanford,virginia,memphis,san-diego-state
david-briggs,alabama,penn-state,georgia,tcu,wisconsin,oklahoma,ohio-state,clemson,miami-fl,usc,notre-dame,washington-state,oklahoma-state,washington,north-carolina-state,virginia-tech,michigan-state,michigan,ucf,south-florida,stanford,west-virginia,auburn,memphis,iowa-state
ed-daigneault,alabama,penn-state,ohio-state,georgia,wisconsin,tcu,clemson,oklahoma,washington,oklahoma-state,usc,miami-fl,south-florida,notre-dame,virginia-tech,auburn,washington-state,michigan,michigan-state,north-carolina-state,ucf,stanford,west-virginia,lsu,memphis
eric-hansen,alabama,georgia,penn-state,tcu,ohio-state,clemson,miami-fl,wisconsin,usc,oklahoma,oklahoma-state,virginia-tech,notre-dame,washington,north-carolina-state,washington-state,michigan-state,ucf,stanford,michigan,auburn,south-florida,west-virginia,south-carolina,san-diego-state
