aaron-suttles,alabama,clemson,oklahoma,penn-state,washington,georgia,tcu,ohio-state,michigan,wisconsin,miami-fl,auburn,washington-state,usc,oklahoma-state,louisville,notre-dame,virginia-tech,san-diego-state,south-florida,utah,west-virginia,north-carolina-state,georgia-tech,florida
adam-jude,alabama,clemson,oklahoma,washington,penn-state,wisconsin,tcu,washington-state,georgia,ohio-state,michigan,auburn,south-florida,usc,miami-fl,louisville,virginia-tech,oklahoma-state,utah,north-carolina-state,ucf,san-diego-state,west-virginia,notre-dame,florida
adam-zucker,alabama,clemson,oklahoma,penn-state,georgia,washington,michigan,wisconsin,tcu,washington-state,ohio-state,oklahoma-state,miami-fl,usc,south-florida,auburn,virginia-tech,louisville,san-diego-state,utah,notre-dame,west-virginia,florida,ucf,navy
andy-bitter,clemson,alabama,oklahoma,georgia,penn-state,tcu,michigan,washington,washington-state,ohio-state,wisconsin,miami-fl,oklahoma-state,auburn,usc,virginia-tech,louisville,notre-dame,west-virginia,san-diego-state,utah,florida,north-carolina-state,oregon,ucf
andy-greder,alabama,clemson,oklahoma,georgia,penn-state,ohio-state,washington,tcu,wisconsin,michigan,oklahoma-state,washington-state,usc,miami-fl,auburn,louisville,south-florida,virginia-tech,florida,notre-dame,utah,san-diego-state,west-virginia,north-carolina-state,ucf
bill-landis,alabama,clemson,oklahoma,georgia,penn-state,michigan,washington-state,tcu,ohio-state,washington,wisconsin,miami-fl,usc,auburn,virginia-tech,notre-dame,oklahoma-state,utah,san-diego-state,florida,ucf,west-virginia,north-carolina-state,louisville,south-florida
bob-asmussen,alabama,clemson,oklahoma,michigan,penn-state,washington,wisconsin,ohio-state,georgia,washington-state,tcu,south-florida,usc,auburn,miami-fl,oklahoma-state,florida,louisville,san-diego-state,virginia-tech,utah,notre-dame,ucf,west-virginia,oregon
brent-axe,alabama,clemson,oklahoma,washington,penn-state,georgia,michigan,auburn,tcu,ohio-state,washington-state,wisconsin,miami-fl,louisville,south-florida,usc,virginia-tech,oklahoma-state,san-diego-state,notre-dame,utah,florida,north-carolina-state,west-virginia,oregon
bret-bloomquist,alabama,clemson,oklahoma,washington,penn-state,georgia,tcu,michigan,ohio-state,wisconsin,washington-state,miami-fl,oklahoma-state,auburn,usc,south-florida,virginia-tech,utah,louisville,florida,notre-dame,san-diego-state,west-virginia,north-carolina-state,ucf
brian-howell,alabama,clemson,oklahoma,penn-state,washington,georgia,ohio-state,michigan,tcu,wisconsin,washington-state,usc,oklahoma-state,auburn,virginia-tech,miami-fl,louisville,florida,south-florida,notre-dame,san-diego-state,utah,west-virginia,north-carolina-state,stanford
