army,hofstra,74,77,2017,11,10,"David S. Mack Sports and Exhibition Complex - Hofstra Arena, Hempstead, NY"
ga-southwestern,radford,63,72,2017,11,10,"Dedmon Center, Radford, VA"
mit,harvard,64,73,2017,11,10,"Lavietes Pavilion, Allston, MA"
southern-ill,winthrop,81,66,2017,11,10,"Winthrop Coliseum, Rock Hill, SC"
east-tenn-st,northern-ky,63,81,2017,11,10,"BB&T Arena at Northern Kentucky, Highland Heights, KY"
ipfw,oakland,71,85,2017,11,10,"Athletics Center O'rena, Rochester, MI"
maine,boston-college,65,85,2017,11,10,"Silvio O. Conte Forum, Chestnut Hill, MA"
ga-southern,wake-forest,85,83,2017,11,10,"Lawrence Joel Veterans Memorial Coliseum, Winston-Salem, NC"
howard,george-washington,75,84,2017,11,10,"Charles E. Smith Athletic Center, Washington, DC"
unc-asheville,rhode-island,60,84,2017,11,10,"Thomas F. Ryan Center, Kingston, RI"
methodist,charlotte,76,116,2017,11,10,"Dale F. Halton Arena, Charlotte, NC"
piedmont-intl,coastal-caro,50,102,2017,11,10,"HTC Center, Conway, SC"
texas-tyler,louisiana-tech,71,112,2017,11,10,"Thomas Assembly Center, Ruston, LA"
northeastern,boston-u,65,59,2017,11,10,"Case Gym, Boston, MA"
emory,lipscomb,83,98,2017,11,10,"Allen Arena, Nashville, TN"
phila-biblical,delaware-st,50,71,2017,11,10,"Memorial Hall Gym, Dover, DE"
norfolk-st,auburn,74,102,2017,11,10,"Auburn Arena, Auburn, AL"
alcorn,lsu,59,99,2017,11,10,"Pete Maravich Assembly Center, Baton Rouge, LA"
mcneese-st,houston,53,81,2017,11,10,"Health & PE Arena, Houston, TX"
samford,arkansas,56,95,2017,11,10,"Bud Walton Arena, Fayetteville, AR"
southern-u,illinois,55,102,2017,11,10,"State Farm Center, Champaign, IL"
la-lafayette,ole-miss,76,94,2017,11,10,"The Pavilion at Ole Miss, Oxford, MS"
northern-colo,colorado,51,66,2017,11,10,"Coors Events Center, Boulder, CO"
umbc,smu,67,78,2017,11,10,"Moody Coliseum, Dallas, TX"
fla-atlantic,south-fla,59,60,2017,11,10,"USF Sun Dome, Tampa, FL"
liu-brooklyn,tulane,96,102,2017,11,10,"Devlin Fieldhouse, New Orleans, LA"
mercer,ucf,79,88,2017,11,10,"CFE Arena, Orlando, FL"
uc-santa-cruz,fresno-st,65,96,2017,11,10,"Save Mart Center, Fresno, CA"
arkansas-st,evansville,63,77,2017,11,10,"Ford Center, Evansville, IN"
seattle,saint-louis,46,62,2017,11,10,"Chaifetz Arena, St. Louis, MO"
niagara,st-bonaventure,77,75,2017,11,10,"Reilly Center, St. Bonaventure, NY"
wright-st,loyola-chicago,80,84,2017,11,10,"Joseph J. Gentile Center, Chicago, IL"
north-park,valparaiso,46,88,2017,11,10,"Athletics-Recreation Center, Valparaiso, IN"
ut-martin,marshall,91,102,2017,11,10,"Cam Henderson Center, Huntington, WV"
eastern-ky,rice,73,72,2017,11,10,"Tudor Fieldhouse, Houston, TX"
southwestern-tx,incarnate-word,71,87,2017,11,10,"McDermott Center, San Antonio, TX"
southern-no,southern-miss,69,79,2017,11,10,"Reed Green Coliseum, Hattiesburg, MS"
jacksonville,uab,67,96,2017,11,10,"Bartow Arena, Birmingham, AL"
missouri-st,western-ky,85,80,2017,11,10,"E. A. Diddle Arena, Bowling Green, KY"
nicholls-st,utrgv,111,106,2017,11,10,"UTRGV Fieldhouse, Edinburg, TX"
tenn-wesleyan,jacksonville-st,42,100,2017,11,10,"Pete Mathews Coliseum, Jacksonville, AL"
avila,oral-roberts,72,86,2017,11,10,"Mabee Center, Tulsa, OK"
brescia,murray-st,61,118,2017,11,10,"CFSB Center, Murray, KY"
central-conn-st,hartford,84,85,2017,11,10,"Chase Arena at Reich Family Pavilion, West Hartford, CT"
william-mary,high-point,66,100,2017,11,10,"Millis Athletic Convocation Center, High Point, NC"
nc-central,ill-chicago,55,65,2017,11,10,"UIC Pavilion, Chicago, IL"
fla-christian,bethune-cookman,66,108,2017,11,10,"Moore Gymnasium, Daytona Beach, FL"
hampton,rider,75,90,2017,11,10,"Alumni Gymnasium, Lawrenceville, NJ"
valley-forge-chrst,umes,69,95,2017,11,10,"Hytche Athletic Center, Princess Anne, MD"
greensboro,nc-at,80,104,2017,11,10,"Corbett Sports Center, Greensboro, NC"
neb-omaha,montana-st,80,89,2017,11,10,"Four Seasons Arena, Great Falls, MT"
northwestern-st,texas,59,105,2017,11,10,"Frank C. Erwin Jr. Center, Austin, TX"
pepperdine,oklahoma-st,47,78,2017,11,10,"Gallagher-Iba Arena, Stillwater, OK"
hillsdale-baptist,abilene-christian,68,86,2017,11,10,"Moody Coliseum (Abilene), Abilene, TX"
centenary-la,southeastern-la,67,99,2017,11,10,"University Center (LA), Hammond, LA"
our-lady-of-the-lake,am-corpus-chris,68,69,2017,11,10,"Dugan Wellness Center, Corpus Christi, TX"
bucknell,monmouth,78,79,2017,11,10,"OceanFirst Bank Center, West Long Branch, NJ"
la-monroe,tcu,73,83,2017,11,10,"Schollmaier Arena, Fort Worth, TX"
south-ala,texas-tech,50,75,2017,11,10,"United Supermarkets Arena, Lubbock, TX"
iowa-st,missouri,59,74,2017,11,10,"Mizzou Arena, Columbia, MO"
yale,creighton,76,92,2017,11,10,"CenturyLink Center, Omaha, NE"
american,kansas-st,45,83,2017,11,10,"Bramlage Coliseum, Manhattan, KS"
mt-st-marys,marquette,59,80,2017,11,10,"BMO Harris Bradley Center, Milwaukee, WI"
chattanooga,wyoming,65,74,2017,11,10,"Arena-Auditorium, Laramie, WY"
louisiana-col,utep,50,100,2017,11,10,"Don Haskins Center, El Paso, TX"
pittsburgh,navy,62,71,2017,11,10,"Navy Alumni Hall, Annapolis, MD"
florida-am,grand-canyon,51,67,2017,11,10,"Grand Canyon University Arena, Phoenix, AZ"
east-central,new-mexico-st,55,81,2017,11,10,"Pan American Center, Las Cruces, NM"
utah-st,weber-st,59,65,2017,11,10,"Dee Events Center, Ogden, UT"
whitworth,montana,60,72,2017,11,10,"Dahlberg Arena, Missoula, MT"
chicago-st,iowa,62,95,2017,11,10,"Carver-Hawkeye Arena, Iowa City, IA"
uc-irvine,south-dakota-st,54,65,2017,11,10,"Frost Arena, Brookings, SD"
austin-peay,vanderbilt,54,73,2017,11,10,"Memorial Gymnasium, Nashville, TN"
sacramento-st,colorado-st,61,72,2017,11,10,"Moby Arena, Fort Collins, CO"
north-dakota,troy,83,80,2017,11,10,"Stan Sheriff Center, Honolulu, HI"
southern-utah,oregon-st,82,99,2017,11,10,"Gill Coliseum, Corvallis, OR"
prairie-view,utah,62,83,2017,11,10,"Jon M. Huntsman Center, Salt Lake City, UT"
idaho-st,arizona-st,74,94,2017,11,10,"Wells Fargo Arena, Tempe, AZ"
belmont,washington,82,86,2017,11,10,"Alaska Airlines Arena at Hec Edmundson Pavilion, Seattle, WA"
eastern-ore,boise-st,65,104,2017,11,10,"Taco Bell Arena, Boise, ID"
idaho,nevada,64,88,2017,11,10,"Lawlor Events Center, Reno, NV"
antelope-valley,san-jose-st,45,97,2017,11,10,"Event Center Arena, San Jose, CA"
san-diego-christian,san-diego-st,52,91,2017,11,10,"Viejas Arena at Aztec Bowl, San Diego, CA"
la-verne,santa-clara,70,120,2017,11,10,"Leavey Center, Santa Clara, CA"
whittier,bakersfield,66,88,2017,11,10,"Icardo Center, Bakersfield, CA"
life-pacific,cal-st-northridge,50,76,2017,11,10,"Matadome, Northridge, CA"
