nevada,coastal-caro,73,56,2015,11,13
belmont,marquette,83,80,2015,11,13
southeastern-la,tcu,77,90,2015,11,13
usc-upstate,texas-am,64,104,2015,11,13
uab,auburn,74,75,2015,11,13
florida,navy,59,41,2015,11,13
chadron-st,south-dakota-st,52,87,2015,11,13
gardner-webb,iowa,59,76,2015,11,13
illinois-st,san-diego-st,60,71,2015,11,13
cal-poly,unlv,72,74,2015,11,13
uc-san-diego,uc-irvine,73,89,2015,11,13
jackson-st,oregon,52,80,2015,11,13
pepperdine,fresno-st,66,69,2015,11,13
cal-st-fullerton,loyola-marymount,74,79,2015,11,13
texas,washington,71,77,2015,11,13
lipscomb,santa-clara,65,63,2015,11,13
great-falls,idaho-st,72,78,2015,11,13
oregon-tech,portland,81,98,2015,11,13
ark-pine-bluff,seattle,58,56,2015,11,13
monmouth,ucla,84,81,2015,11,13
san-fran-st,st-marys-ca,56,80,2015,11,13
kean,columbia,62,107,2015,11,13
vermont,eastern-mich,50,70,2015,11,13
montana-st,hawaii,76,87,2015,11,13
njit,kentucky,57,87,2015,11,14
bryant,duke,75,113,2015,11,14
citadel,butler,71,144,2015,11,14
vmi,penn-st,50,62,2015,11,14
new-orleans,bowling-green,61,79,2015,11,14
st-francis-ny,boston-college,49,75,2015,11,14
jacksonville,appalachian-st,68,76,2015,11,14
west-va-tech,toledo,65,96,2015,11,14
towson,la-salle,76,78,2015,11,14
averett,east-tenn-st,59,107,2015,11,14
central-baptist,ualr,57,76,2015,11,14
hampton,winthrop,95,102,2015,11,14
south-dakota,northern-ill,65,72,2015,11,14
central-ark,tulsa,81,98,2015,11,14
greensboro,unc-greensboro,69,86,2015,11,14
alabama-st,virginia-tech,85,82,2015,11,14
norfolk-st,south-carolina,69,84,2015,11,14
baptist-bible-pa,liberty,52,90,2015,11,14
merchant-marine,stony-brook,32,103,2015,11,14
william-jessup,uc-riverside,68,100,2015,11,14
harvard,providence,64,76,2015,11,14
byu-hawaii,long-beach-st,57,91,2015,11,14
youngstown-st,kent-st,70,79,2015,11,14
cal-st-northridge,wright-st,72,67,2015,11,14
ucf,davidson,85,90,2015,11,14
northwest-christian,oregon-st,52,74,2015,11,14
hawaii-hilo,montana-st,85,90,2015,11,14
southern-miss,memphis,49,67,2015,11,14
campbellsville,western-ky,77,97,2015,11,14
eureka,loyola-il,51,84,2015,11,14
mississippi-val,nebraska,51,97,2015,11,14
sam-houston-st,smu,50,85,2015,11,14
fordham,texas-arlington,72,77,2015,11,14
milwaukee,lipscomb,71,65,2015,11,14
piedmont,tennessee-tech,72,110,2015,11,14
great-falls,utah-valley,60,89,2015,11,14
western-mich,depaul,63,69,2015,11,14
cleveland-st,akron,53,65,2015,11,14
loyola-la,utep,49,96,2015,11,14
texas-southern,creighton,70,93,2015,11,14
san-diego-christian,bakersfield,69,93,2015,11,14
idaho,san-jose-st,74,54,2015,11,14
denver,santa-clara,55,33,2015,11,14
colorado-st,uni,84,78,2015,11,14
radford,georgetown,82,80,2015,11,14
howard,massachusetts,79,85,2015,11,14
grambling,mid-atlantic-christ,85,26,2015,11,14
fairfield,north-carolina,65,92,2015,11,15
siena,wisconsin,65,92,2015,11,15
vermont,purdue,79,107,2015,11,15
wake-forest,bucknell,90,82,2015,11,15
howard,rutgers,70,82,2015,11,15
wagner,seton-hall,59,69,2015,11,15
robert-morris,cincinnati,44,106,2015,11,15
army,binghamton,75,60,2015,11,15
utsa,clemson,45,78,2015,11,15
cal-st-northridge,south-dakota,72,76,2015,11,15
st-peters,lafayette,86,87,2015,11,15
iona,valparaiso,58,83,2015,11,15
fort-valley-st,jacksonville-st,68,81,2015,11,15
southeast-mo-st,evansville,65,80,2015,11,15
reinhardt,troy,82,97,2015,11,15
north-dakota-st,illinois,74,80,2015,11,15
lipscomb,denver,69,82,2015,11,15
la-monroe,minnesota,56,67,2015,11,15
nicholls-st,florida-st,62,109,2015,11,15
central-conn-st,penn,61,77,2015,11,15
florida-am,southern-ill,51,81,2015,11,15
nc-wesleyan,high-point,69,93,2015,11,15
unc-asheville,western-caro,81,90,2015,11,15
wright-st,northern-ill,59,65,2015,11,15
stetson,richmond,85,108,2015,11,15
st-marys-mn,neb-omaha,58,104,2015,11,15
hartford,saint-louis,68,85,2015,11,15
sacramento-st,seattle,77,65,2015,11,15
coppin-st,iowa,68,103,2015,11,15
milwaukee,santa-clara,71,65,2015,11,15
south-ala,north-carolina-st,70,88,2015,11,15
md-east-shore,missouri,55,73,2015,11,15
hannibal-la-grange,western-ill,57,94,2015,11,15
portland,uc-davis,66,79,2015,11,15
montana-st,nevada,62,83,2015,11,15
william-jewell,umkc,59,73,2015,11,15
charleston-so,stanford,59,93,2015,11,15
loyola-marymount,uc-irvine,53,77,2015,11,15
new-mexico,new-mexico-st,83,74,2015,11,15
coastal-caro,hawaii,63,74,2015,11,15
cal-poly,ucla,83,88,2015,11,15
mt-st-marys,ohio-st,54,76,2015,11,15
kentucky,duke,74,63,2015,11,17
georgetown,maryland,71,75,2015,11,17
kansas,michigan-st,73,79,2015,11,17
oklahoma,memphis,84,78,2015,11,17
wichita-st,tulsa,67,77,2015,11,17
nebraska,villanova,63,87,2015,11,17
milwaukee,notre-dame,78,86,2015,11,17
new-hampshire,uconn,66,85,2015,11,17
alabama,dayton,48,80,2015,11,17
colorado,auburn,91,84,2015,11,17
nevada,hawaii,75,76,2015,11,17
depaul,penn-st,62,68,2015,11,17
stetson,citadel,93,94,2015,11,17
green-bay,east-tenn-st,90,103,2015,11,17
missouri,xavier,66,78,2015,11,17
penn,delaware-st,60,54,2015,11,17
mt-st-vincent,st-francis-ny,67,93,2015,11,17
massachusetts,harvard,69,63,2015,11,17
furman,appalachian-st,79,70,2015,11,17
san-diego,western-mich,62,74,2015,11,17
chowan,unc-greensboro,60,81,2015,11,17
william-mary,liberty,70,59,2015,11,17
st-bonaventure,syracuse,66,79,2015,11,17
westminster-pa,st-francis-pa,72,103,2015,11,17
truett-mcconnell,winthrop,78,106,2015,11,17
