,1990,1990u,1990r,1980,1980u,1980r,1970,1970u,1970r,1960,1960u,1960r,1950,1950u,1950r,1940,1940u,1940r,1930,1930u,1930r,1920,1920u,1920r,1910,1910u,1910r,1900,1900u,1900r
NE,1578385,1043984,534401,1569825,987859,581966,1485333,912598,570895,1411330,766053,645277,1325510,621905,703605,1315834,514148,801686,1377963,486107,891856,1296372,405293,891079,1192214,310852,881362,1066300,252702,813598
NV,1201833,1061444,140389,800508,682947,117546,488738,395336,93402,285278,200704,84574,160083,91625,68458,0,43291,66956,91058,34464,56594,77407,15254,62153,81875,13367,68508,42335,7195,35140
NH,1109252,565670,543582,920610,480325,440285,737681,416040,321641,606921,353766,253155,533242,306806,226436,491524,283225,208299,465293,273079,192214,443083,250438,192645,430572,223152,207420,411588,192240,219348
NJ,7730188,6910220,819968,7365011,6557377,807446,7171112,6373405,794759,6066782,5374369,692413,4835329,4186207,649122,4160165,3394773,765392,4041334,3339244,702090,3155900,2522435,633465,2537167,1938612,598555,1883669,1329162,554507
NM,1515069,1105651,409418,1303302,939963,362931,1017055,708775,307225,951023,626479,324544,681187,341889,339298,531818,176401,355417,423317,106816,316501,360350,64960,295390,327301,46571,280730,195310,27381,167929
NY,17990455,15164047,2826408,17558165,14858068,2700004,18241391,15626969,2609998,16782304,14331925,2450379,14830192,12682446,2147746,13479142,11165893,2313249,12588066,10521952,2066114,10385227,8588586,1796641,9113614,7188131,1925483,7268894,5298111,1970783
NC,6628637,3337778,3290859,5880095,2822852,3058914,5084411,2310381,2771678,4556155,1801921,2754234,4061929,1368101,2693828,3571623,974175,2597448,3170276,809847,2360429,2559123,490370,2068753,2206287,318474,1887813,1893810,186790,1707020
ND,638800,340339,298461,652717,318310,334407,617792,273442,344319,632446,222708,409738,619636,164817,454819,641935,131923,510012,680845,113306,567539,646872,88239,558633,577056,63236,513820,319146,23413,295733
OH,10847115,8039409,2807706,10797603,7918259,2879371,10657423,8025775,2626242,9706397,7123162,2583235,7946627,5578274,2368353,6907612,4612986,2294626,6646697,4507371,2139326,5759394,3677136,2082258,4767121,2665143,2101978,4157545,1998382,2159163
OK,3145585,2130139,1015446,3025487,2035082,990208,2559463,1740137,819092,2328284,1464786,863498,2233351,1139481,1093870,2336434,879663,1456771,2396040,821681,1574359,2028283,538017,1490266,1657155,318975,1338180,790391,58417,731974
OR,2842321,2003271,839050,2633156,1788354,844751,2091533,1402704,688681,1768687,1100122,668565,1521341,819318,702023,1089684,531675,558009,953786,489746,464040,783389,390346,393043,672765,307060,365705,413536,133180,280356
PA,11881643,8188295,3693348,11864720,8220851,3643044,11800766,8436397,3357512,11319366,8102051,3217315,10498012,7403036,3094976,9900180,6586877,3313303,9631350,6533511,3097839,8720017,5672453,3047564,7665111,4630669,3034442,6302115,3448610,2853505
RI,1003464,863381,140083,947154,824004,123150,949723,824930,121795,859488,742897,116591,791896,667212,124684,713346,653383,59963,687497,635429,52068,604397,555146,49251,542610,493938,48672,428556,378471,50085
SC,3486703,1905378,1581325,3120729,1689253,1432567,2590713,1250725,1339791,2382594,981386,1401208,2117027,777921,1339106,1899804,466111,1433693,1738765,371080,1367685,1683724,293987,1389737,1515400,224832,1290568,1340316,171256,1169060
SD,696004,347903,348101,690768,320777,369991,666257,296628,368879,680514,267180,413334,652740,216710,436030,642961,158087,484874,692849,130907,561942,636547,101872,534675,583888,76469,507419,401570,40936,360634
TN,4877185,2969948,1907237,4591023,2773573,1817547,3926018,2318458,1605229,3567089,1864828,1702261,3291718,1452602,1839116,2915841,1027206,1888635,2616556,896538,1720018,2337885,611226,1726659,2184789,441045,1743744,2020616,326639,1693977
TX,16986510,13634517,3351993,14225513,11333017,2896174,11198655,8922211,2274519,9579677,7187470,2392207,7711194,4838060,2873134,6414824,2911389,3503435,5824715,2389348,3435367,4663228,1512689,3150539,3896542,938104,2958438,3048710,520759,2527951
UT,1722850,1499081,223769,1461037,1233060,227977,1059273,851472,207801,890627,667158,223469,688862,449855,239007,550310,305493,244817,507847,266264,241583,449396,215584,233812,373351,172934,200417,276749,105427,171322
VT,562758,181149,381609,511456,172735,338721,444732,142889,301441,389881,149921,239960,377747,137612,240135,359231,123239,235992,359611,118766,240845,352428,109976,242452,355956,98917,257039,343641,75831,267810
VA,6187358,4293443,1893915,5346797,3529423,1817395,4651448,2938917,1709577,3966949,2204913,1762036,3318680,1560115,1758565,2677773,944675,1733098,2421851,785537,1636314,2309187,673984,1635203,2061612,476529,1585083,1854184,340067,1514117
WA,4866692,3717948,1148744,4132353,3037014,1095142,3413244,2501051,908118,2853214,1943249,909965,2378963,1503166,875797,1736191,921969,814222,1563396,884539,678857,1356621,742801,613820,1141990,605530,536460,518103,211477,306626
WV,1793477,648184,1145293,1950186,705319,1244325,1744237,681555,1062682,1860421,711101,1149320,2005552,694487,1311065,1901974,534292,1367682,1729205,491504,1237701,1463701,369007,1094694,1221119,228242,992877,958800,125465,833335
WI,4891769,3211956,1679813,4705642,3020732,1685035,4417821,2910418,1507313,3951777,2522179,1429598,3434575,1987888,1446687,3137587,1679144,1458443,2939006,1553843,1385163,2632067,1244858,1387209,2333860,1004320,1329540,2069042,790213,1278829
WY,453588,294635,158953,469557,294639,174918,332416,201111,131305,330066,187551,142515,290529,144618,145911,250742,93577,157165,225565,70097,155468,194402,57095,137307,145965,43221,102744,92531,26657,65874
