Appalachian State,2082.239270231505,22
Air Force,1488.7270005241714,10
Charlotte,1584.9759836101737,9
Coastal Carolina,1470.4539690405331,3
Colorado State,1937.2879569580207,14
East Carolina,2085.744968582499,19
Georgia State,1568.944269906317,4
Liberty,1450.2514189964181,3
Navy,2385.0713184016377,59
Texas State,1806.1389526647035,16
Wyoming,1527.278391112248,7
Ball State,1471.251623780663,7
Bowling Green,1759.0444111336913,10
Indiana State,1401.3102635475104,7
South Dakota State,1421.5815816908791,5
Southern Illinois,1393.7116713487621,5
Western Illinois,1359.773329136095,4
Albany,1328.7413902823755,3
Kent State,1360.036365561449,4
Tulane,1949.6840296705457,15
Army,2264.663114803611,59
South Alabama,1290.3307236896292,1
Toledo,1879.1030599130224,13
Buffalo,1262.0312740861639,2
Eastern Kentucky,1136.9563492316051,0
Eastern Michigan,1457.9079022886392,5
Holy Cross,1254.1081685420859,1
Ohio,1438.6837031326274,5
Iowa State,2124.282037548661,16
Princeton,1685.8828825312255,6
Central Michigan,1598.2631929375057,11
Arkansas State,1960.3750287194327,17
Cincinnati,2240.20658422772,19
Illinois State,1477.7993588361157,8
Northern Illinois,2033.9333906000893,20
Elon,1333.2446109262537,3
Marshall,1521.0629574427287,10
Temple,2191.0080803526025,21
Idaho,1301.023499560517,2
Montana State,1516.744112805385,10
South Dakota,1380.7970053991328,4
Massachusetts,1507.0729017412996,6
Western Kentucky,2146.753827719991,19
Akron,1567.3403186193723,6
Miami (OH),1622.2276644197193,6
New Mexico,1261.5506882661564,2
Western Michigan,1964.316035563392,17
Georgia Southern,1433.1636646524898,3
Old Dominion,1604.5809664250703,6
Howard,1360.9678597596248,5
Morgan State,1169.2199776586392,0
Purdue,2264.123576527443,22
Florida International,1753.492426916176,8
Brown,1247.8620429238792,1
Columbia,1166.224737357345,1
Dartmouth,1333.9861687205746,3
Harvard,1911.5682997785586,13
Yale,1539.2720386267868,4
Connecticut,1954.9654021584288,16
Memphis,1959.7863487371887,16
Cornell,1190.8690085925489,2
Jacksonville State,1314.2439578574056,1
Stephen F. Austin,1379.6728352102962,4
Central Arkansas,1275.7214966377849,1
Jackson State,1257.3137560442829,1
Southern Miss,1717.1751398559763,10
Fresno State,1747.3766222209829,11
Middle Tennessee State,1561.370978225312,5
UNLV,1681.7467238859952,9
Nevada,1721.9911200698925,12
New Mexico State,1302.835723317435,1
Florida Atlantic,1394.749986108536,2
Samford,1251.4990215600592,0
Hawaii,1432.4564999141744,6
Boston College,2219.84256092165,20
North Texas,1731.268451889005,13
Rice,1970.0008226311109,14
Louisiana-Monroe,1603.7707803529884,9
San Jose State,1251.8742634055845,0
Rutgers,2230.6541528063854,19
Virginia,2271.898972393852,18
Maryland,2442.7462225220715,20
Wake Forest,2090.959756900923,15
Louisiana Tech,1929.1304755844253,12
Northwestern,2304.77670437544,15
Texas-San Antonio,2071.5019498866377,17
Tulsa,1823.566195948713,11
Washington State,2193.5562168315664,17
Nicholls State,1423.9965774098757,2
Mercer,1220.8143907158571,0
Troy,1551.2551901623065,5
South Carolina,2380.5672652989388,18
Indiana,2212.0581391020614,15
Kansas,2005.37977858186,10
North Carolina State,2314.3080514189505,18
Syracuse,2133.182594984397,15
Utah,1794.1135852658178,5
Boise State,1946.7684395645535,11
Utah State,1317.6074592001137,1
Minnesota,2450.0390798476396,23
Vanderbilt,2245.4410470167045,14
Louisville,2401.9568204787665,19
Illinois,2107.1194030749375,14
South Florida,2387.938357970009,25
Missouri,2179.5466532849578,13
UCF,1953.6991751380122,13
Pittsburgh,2193.6095505902713,14
Colorado,2203.8731723209357,17
UCLA,2585.495565479764,23
Oregon State,1825.1559170319115,9
Southern Methodist,2182.1997868195185,19
Tennessee,2694.0476528927334,23
San Diego State,2000.794166183305,12
Duke,2274.1992426632714,15
Arizona,1953.2761855895928,12
McNeese State,1417.635976353792,4
UAB,1734.398939061613,8
Arkansas,2172.688398183152,11
Arizona State,2091.461227724586,13
Louisiana-Lafayette,1365.40387910679,2
Texas Tech,2264.745053619894,19
Baylor,2451.8246472167743,18
Houston,2345.487209647664,22
TCU,2523.3478316306523,19
Brigham Young,2260.0298729962474,20
Washington,2421.2770870091845,12
Oklahoma State,2427.556747944496,18
Michigan State,2414.4547345934207,18
Penn State,2895.9106979942285,23
Virginia Tech,2422.8544227993843,19
West Virginia,2309.0749859948014,17
Auburn,2344.361914944946,13
Iowa,2153.3161843802,13
Kentucky,2383.9625622195554,18
Oregon,2704.301014318769,22
Wisconsin,2377.9263976562806,19
Florida,2505.787939117983,17
LSU,2465.8912276866836,18
Mississippi,2008.6194682147707,8
Notre Dame,2552.549512534062,16
USC,2385.554100775141,11
Clemson,2384.7026243403893,11
California,2293.3178065560287,16
Kansas State,1927.228939420051,9
Mississippi State,2574.8342654767685,25
Miami (FL),2757.060081903761,19
North Carolina,2254.975719057031,11
Georgia Tech,2235.9843627998657,15
Florida State,2649.809604198688,18
Georgia,2430.572115941166,14
Texas,2807.432769583207,18
Nebraska,2220.834642221258,10
Oklahoma,2597.6346783784006,19
Texas A&M,2518.526769010454,16
Alabama,2330.817095883788,11
Ohio State,2767.049952329692,18
Michigan,2398.205509068097,14
