https://n.rivals.com/content/prospects/2018/oliver-jervis-208470,"Perkasie, PA",Oliver Jervis,Athlete,Monmouth
https://n.rivals.com/content/prospects/2018/joe-schreiber-198225,"Eden Prairie , MN",Joe Schreiber,Offensive center,North Dakota State
https://n.rivals.com/content/prospects/2018/phoenix-sproles-186141,"Robbinsdale, MN",Phoenix Sproles,Wide Receiver,North Dakota State
https://n.rivals.com/content/prospects/2018/colby-sorsdal-192461,"Pittsburgh, PA",Colby Sorsdal,Offensive tackle,William & Mary
https://n.rivals.com/content/prospects/2018/marcus-crowell-183897,"Montclair, NJ",Marcus Crowell,Offensive tackle,William & Mary
https://n.rivals.com/content/prospects/2018/d-j-stewart-194120,"Kimberly, WI",D.J. Stewart,Running Back,North Dakota State
https://n.rivals.com/content/prospects/2018/garrett-zobel-197454,"Wyndmoor, PA",Garrett  Zobel,Defensive tackle,Villanova
https://n.rivals.com/content/prospects/2018/jacob-jerome-208854,"Oakdale, CT",Jacob Jerome,Inside linebacker,New Hampshire
https://n.rivals.com/content/prospects/2018/jordan-morris-183959,"Princeton, NJ",Jordan Morris,Defensive tackle,Delaware
https://n.rivals.com/content/prospects/2018/michael-littleton-188291,"Derby, KS",Michael Littleton,Tight end,South Dakota State
https://n.rivals.com/content/prospects/2018/blake-kunz-208432,"Germantown, WI",Blake Kunz,Tight end,South Dakota State
https://n.rivals.com/content/prospects/2018/stephon-cooper-210380,"Perkinston, MS",Stephon Cooper,Offensive center,Lamar
https://n.rivals.com/content/prospects/2018/zach-starforth-187658,"Peculiar, MO",Zach Starforth,Offensive tackle,Illinois State
https://n.rivals.com/content/prospects/2018/kenton-wilhoit-207813,"Oak Grove, MO",Kenton Wilhoit,Safety,Illinois State
https://n.rivals.com/content/prospects/2018/brian-adams-203942,"Springfield, IL",Brian Adams,Running Back,Illinois State
https://n.rivals.com/content/prospects/2018/isaiah-spencer-210387,"Perkinston, MS",Isaiah Spencer,Outside linebacker,Lamar
https://n.rivals.com/content/prospects/2018/jeff-undercuffler-183950,"Delran, NJ",Jeff Undercuffler,Pro-style quarterback,Albany
https://n.rivals.com/content/prospects/2018/kobe-thomas-208082,"Allentown, PA",Kobe Thomas,Offensive tackle,Albany
https://n.rivals.com/content/prospects/2018/oliver-mcdowell-203686,"East St. Louis, IL",Oliver McDowell,Running Back,Southern Illinois
https://n.rivals.com/content/prospects/2018/kaleb-dawson-206203,"Moultrie, GA",Kaleb Dawson,Safety,Appalachian State
https://n.rivals.com/content/prospects/2018/antonio-robinson-207397,"Decatur, AL",Antonio Robinson,Running Back,Coastal Carolina
https://n.rivals.com/content/prospects/2018/kade-koler-183706,"Madison, AL",Kade Koler,Inside linebacker,South Alabama
https://n.rivals.com/content/prospects/2018/braden-moody-210435,"Vicksburg, MS",Braden Moody,Offensive tackle,South Alabama
https://n.rivals.com/content/prospects/2018/jack-sape-187079,"Bloomfield Hills, MI",Jack Sape,Strongside defensive end,Ball State
https://n.rivals.com/content/prospects/2018/jake-lynott-209775,"Hawarden, IA",Jake Lynott,Wide Receiver,Augustana (SD)
https://n.rivals.com/content/prospects/2018/antrez-baker-184628,"Brownsburg, IN",Antrez Baker,Strongside defensive end,Ohio
https://n.rivals.com/content/prospects/2018/daishawn-brimage-210465,"Akron, OH",Daishawn Brimage,Wide Receiver,Akron
https://n.rivals.com/content/prospects/2018/dylan-drummond-183413,"Cleveland, OH",Dylan Drummond,Wide Receiver,Eastern Michigan
https://n.rivals.com/content/prospects/2018/mikey-haney-183349,"Maumee, OH",Mikey Haney,Strongside defensive end,Eastern Michigan
https://n.rivals.com/content/prospects/2018/jadon-furlow-185628,"Dayton, OH",Jadon Furlow,Cornerback,Miami (OH)
https://n.rivals.com/content/prospects/2018/brian-dooley-210472,"Toledo, OH",Brian Dooley,Offensive tackle,Eastern Michigan
https://n.rivals.com/content/prospects/2018/isaiah-schoonmaker-210477,"Washington, PA",Isaiah Schoonmaker,Outside linebacker,Miami (OH)
https://n.rivals.com/content/prospects/2018/nick-abbs-192347,"Fresno, CA",Nick Abbs,Offensive tackle,Fresno State
https://n.rivals.com/content/prospects/2018/cole-burnison-210479,"Buffalo, NY",Cole Burnison,Tight end,Buffalo
https://n.rivals.com/content/prospects/2018/tyre-shelton-210478,"Douglasville, GA",Tyre Shelton,Running Back,Miami (OH)
https://n.rivals.com/content/prospects/2018/de-vaughn-brown-210316,"Concord, CA",De'Vaughn Brown,Wide Receiver,Wyoming
https://n.rivals.com/content/prospects/2018/dauson-booker-208809,"Modesto, CA",Dauson Booker,Running Back,Wyoming
https://n.rivals.com/content/prospects/2018/leevi-lafaele-186381,"Sacramento, CA",Leevi  Lafaele,Outside linebacker,Wyoming
https://n.rivals.com/content/prospects/2018/l-o-johnson-182472,"Waunakee, WI",L.O. Johnson,Athlete,New Mexico
https://n.rivals.com/content/prospects/2018/jonnie-pitman-185364,"Oxon Hill, MD",Jonnie Pitman,Cornerback,Charlotte
https://n.rivals.com/content/prospects/2018/jordan-bruner-194113,"Pasadena, CA",Jordan Bruner,Tight end,Abilene Christian
https://n.rivals.com/content/prospects/2018/josiah-futral-64146,"Marietta, GA",Josiah Futral,Athlete,Chattanooga
https://n.rivals.com/content/prospects/2018/dylan-cole-193364,"Dalton, GA",Dylan Cole,Offensive guard,Chattanooga
https://n.rivals.com/content/prospects/2018/tyray-collins-195834,"Las Vegas, NV",TyRay Collins,Safety,Adams State
https://n.rivals.com/content/prospects/2018/carlinos-acie-210699,"McKeesport, PA",Carlinos Acie,All-purpose back,Navy
https://n.rivals.com/content/prospects/2018/ryan-possley-184075,"Green Bay, WI",Ryan Possley,Offensive guard,Minnesota State
https://n.rivals.com/content/prospects/2018/tyshawn-buckner-189224,"Homewood, AL",Tyshawn Buckner,Wide Receiver,Navy
https://n.rivals.com/content/prospects/2018/derek-ferraro-206573,"New Rochelle, NY",Derek Ferraro,Offensive tackle,Rice
https://n.rivals.com/content/prospects/2018/monte-pottebaum-210266,"Inwood, IA",Monte Pottebaum,Inside linebacker,Augustana (SD)
https://n.rivals.com/content/prospects/2018/braheam-murphy-200460,"Charlotte, NC",Braheam Murphy,Pro-style quarterback,Army
https://n.rivals.com/content/prospects/2018/george-triplett-207762,"Elkins, WV",George  Triplett,Kicker,Princeton
https://n.rivals.com/content/prospects/2018/tommy-walsh-210996,"Warminster, PA",Tommy Walsh,Offensive guard,Delaware
https://n.rivals.com/content/prospects/2018/jordan-goco-183308,"Clemmons, NC",Jordan Goco,Tight end,Campbell
https://n.rivals.com/content/prospects/2018/braden-brose-210997,"Greensburg, PA",Braden Brose,Tight end,Delaware
https://n.rivals.com/content/prospects/2018/shaneal-greene-182922,"Mundelein, IL",Shaneal Greene,Wide Receiver,Indiana State
https://n.rivals.com/content/prospects/2018/cj-rutherford-184317,"Chicago, IL",CJ Rutherford,Wide Receiver,Indiana State
https://n.rivals.com/content/prospects/2018/geno-hess-186151,"Peoria, IL",Geno Hess,Running Back,Southeast Missouri State
https://n.rivals.com/content/prospects/2018/clifton-bush-188400,"Buford, GA",Clifton  Bush,Cornerback,Navy
https://n.rivals.com/content/prospects/2018/jackson-enz-200104,"Walworth, WI",Jackson Enz,Athlete,North Dakota State
https://n.rivals.com/content/prospects/2018/timber-berzins-206220,"Annapolis, MD",Timber Berzins,Outside linebacker,Navy
