andrew-lopez,duke,kansas,villanova,michigan-state,kentucky,florida,notre-dame,wichita-state,texas-am,miami-fl,north-carolina,gonzaga,west-virginia,minnesota,xavier,cincinnati,virginia,southern-california,arizona-state,tcu,seton-hall,texas,nevada,purdue,texas-tech
antonio-morales,duke,kansas,michigan-state,villanova,florida,miami-fl,texas-am,kentucky,north-carolina,notre-dame,wichita-state,gonzaga,arizona-state,xavier,virginia,minnesota,cincinnati,west-virginia,seton-hall,tennessee,ucla,purdue,nevada,texas-tech,baylor
bj-rains,duke,michigan-state,kansas,florida,villanova,texas-am,kentucky,notre-dame,wichita-state,miami-fl,north-carolina,gonzaga,minnesota,virginia,xavier,cincinnati,west-virginia,arizona-state,tcu,baylor,nevada,creighton,seton-hall,ucla,purdue
bob-holt,duke,kansas,michigan-state,villanova,texas-am,wichita-state,florida,kentucky,miami-fl,notre-dame,minnesota,gonzaga,north-carolina,xavier,virginia,arizona-state,cincinnati,purdue,seton-hall,west-virginia,tcu,baylor,louisville,tennessee,nevada
brant-wilkerson-new,duke,michigan-state,kansas,villanova,kentucky,texas-am,florida,notre-dame,wichita-state,miami-fl,north-carolina,xavier,minnesota,west-virginia,cincinnati,virginia,southern-california,tcu,gonzaga,arizona-state,purdue,nevada,seton-hall,oklahoma,smu
brian-mcinnis,duke,kansas,villanova,michigan-state,florida,miami-fl,texas-am,notre-dame,wichita-state,kentucky,north-carolina,minnesota,gonzaga,arizona-state,virginia,xavier,west-virginia,cincinnati,nevada,seton-hall,tcu,tennessee,smu,kansas-state,duke
carlos-silva,duke,kansas,michigan-state,villanova,wichita-state,florida,kentucky,north-carolina,notre-dame,miami-fl,gonzaga,arizona-state,xavier,texas-am,minnesota,cincinnati,washington-state,seton-hall,purdue,baylor,southern-california,virginia,texas-tech,louisville,ucla
cecil-hurt,duke,michigan-state,kansas,villanova,wichita-state,texas-am,florida,notre-dame,kentucky,miami-fl,north-carolina,gonzaga,xavier,minnesota,west-virginia,cincinnati,virginia,seton-hall,arizona-state,louisville,purdue,tcu,baylor,tennessee,southern-california
chris-dachille,duke,villanova,michigan-state,kansas,florida,texas-am,wichita-state,miami-fl,kentucky,north-carolina,notre-dame,gonzaga,xavier,west-virginia,cincinnati,virginia,arizona-state,minnesota,seton-hall,southern-california,mississippi-state,tcu,purdue,nevada,baylor
chris-murray,duke,kansas,villanova,michigan-state,florida,kentucky,miami-fl,texas-am,notre-dame,wichita-state,north-carolina,gonzaga,xavier,minnesota,cincinnati,west-virginia,virginia,arizona-state,nevada,seton-hall,tcu,purdue,baylor,tennessee,texas-tech
