andrew-lopez,west-virginia,villanova,virginia,michigan-state,duke,texas-tech,oklahoma,arizona-state,wichita-state,purdue,xavier,gonzaga,cincinnati,kansas,tcu,seton-hall,arizona,auburn,clemson,north-carolina,tennessee,kentucky,miami-fl,florida-state,notre-dame
antonio-morales,villanova,west-virginia,purdue,virginia,duke,michigan-state,texas-tech,oklahoma,arizona-state,wichita-state,xavier,cincinnati,gonzaga,seton-hall,kansas,arizona,miami-fl,auburn,tcu,clemson,north-carolina,tennessee,kentucky,notre-dame,creighton
bj-rains,villanova,west-virginia,virginia,michigan-state,purdue,texas-tech,oklahoma,seton-hall,xavier,arizona-state,kansas,tcu,wichita-state,duke,gonzaga,cincinnati,miami-fl,clemson,florida-state,north-carolina,arizona,auburn,tennessee,kentucky,creighton
bob-holt,villanova,west-virginia,virginia,michigan-state,arizona-state,texas-tech,purdue,duke,kansas,wichita-state,xavier,oklahoma,cincinnati,gonzaga,seton-hall,clemson,tcu,arizona,auburn,miami-fl,florida,tennessee,kentucky,north-carolina,florida-state
brant-wilkerson-new,villanova,west-virginia,virginia,wichita-state,purdue,michigan-state,texas-tech,duke,arizona-state,oklahoma,xavier,cincinnati,seton-hall,kansas,notre-dame,miami-fl,gonzaga,clemson,tcu,north-carolina,arizona,creighton,auburn,tennessee,michigan
brian-mcinnis,west-virginia,villanova,virginia,michigan-state,duke,purdue,oklahoma,texas-tech,xavier,wichita-state,seton-hall,kansas,tcu,arizona,arizona-state,cincinnati,auburn,miami-fl,gonzaga,creighton,florida-state,north-carolina,tennessee,clemson,nevada
carlos-silva,villanova,west-virginia,virginia,wichita-state,michigan-state,purdue,texas-tech,oklahoma,duke,arizona-state,xavier,gonzaga,kansas,seton-hall,cincinnati,north-carolina,miami-fl,arizona,tennessee,tcu,kentucky,clemson,creighton,auburn,florida
cecil-hurt,villanova,west-virginia,virginia,michigan-state,wichita-state,duke,purdue,texas-tech,oklahoma,arizona-state,kansas,xavier,cincinnati,gonzaga,arizona,seton-hall,miami-fl,tcu,auburn,kentucky,north-carolina,tennessee,clemson,creighton,notre-dame
chris-dachille,villanova,west-virginia,wichita-state,michigan-state,virginia,oklahoma,duke,purdue,miami-fl,texas-tech,cincinnati,seton-hall,xavier,clemson,kansas,arizona-state,gonzaga,tcu,kentucky,creighton,arizona,ohio-state,texas-am,north-carolina,notre-dame
chris-murray,villanova,west-virginia,virginia,duke,michigan-state,arizona-state,xavier,oklahoma,texas-tech,wichita-state,purdue,seton-hall,kansas,tcu,cincinnati,miami-fl,clemson,gonzaga,kentucky,florida-state,north-carolina,tennessee,arizona,notre-dame,florida
craig-meyer,villanova,west-virginia,virginia,texas-tech,purdue,duke,michigan-state,oklahoma,arizona-state,xavier,wichita-state,seton-hall,tcu,clemson,cincinnati,auburn,kansas,miami-fl,gonzaga,kentucky,florida-state,north-carolina,arizona,creighton,florida
dave-borges,villanova,michigan-state,west-virginia,duke,arizona-state,wichita-state,purdue,xavier,texas-tech,virginia,miami-fl,kentucky,oklahoma,seton-hall,kansas,cincinnati,gonzaga,clemson,auburn,tcu,north-carolina,arizona,texas-am,ohio-state,rhode-island
dave-matter,villanova,west-virginia,michigan-state,virginia,purdue,arizona-state,duke,oklahoma,texas-tech,xavier,wichita-state,kansas,tcu,cincinnati,gonzaga,seton-hall,clemson,arizona,tennessee,notre-dame,kentucky,auburn,miami-fl,florida-state,north-carolina
david-cloninger,west-virginia,purdue,villanova,virginia,wichita-state,michigan-state,xavier,oklahoma,seton-hall,texas-tech,gonzaga,arizona,arizona-state,creighton,miami-fl,kentucky,kansas,tcu,cincinnati,duke,florida-state,notre-dame,clemson,north-carolina,auburn
david-cobb,villanova,west-virginia,virginia,purdue,wichita-state,texas-tech,michigan-state,oklahoma,duke,kansas,xavier,cincinnati,gonzaga,miami-fl,seton-hall,tcu,arizona-state,arizona,kentucky,clemson,north-carolina,auburn,tennessee,florida-state,notre-dame
dick-vitale,west-virginia,villanova,virginia,michigan-state,wichita-state,duke,purdue,oklahoma,arizona,arizona-state,xavier,texas-tech,miami-fl,kansas,gonzaga,tcu,kentucky,cincinnati,seton-hall,florida-state,clemson,texas-am,creighton,florida,georgia
