0,1950,2.2,658
1,1950,4.8,2112
2,1950,2.8,1559
2,1950,1.5,901
2,1950,1.3,658
3,1950,1.8,571
4,1950,0.8,599
5,1950,3.9,1444
6,1950,3.8,1548
7,1950,5.3,1838
8,1950,-0.3,205
9,1950,7.2,2433
10,1950,9.2,2685
11,1950,0.5,80
12,1950,1.2,1708
13,1950,0,110
14,1950,2.7,1404
15,1950,0.3,771
16,1950,4.5,1321
17,1950,2.6,630
18,1950,9.3,1352
19,1950,0.9,370
20,1950,4.4,1774
21,1950,4.3,1392
22,1950,-1.5,651
23,1950,-1.7,1706
24,1950,2.1,1059
25,1950,6.6,932
26,1950,7.7,2112
27,1950,-0.4,84
28,1950,1.6,743
29,1950,1,597
30,1950,3.7,1949
31,1950,4.2,849
31,1950,2.3,462
31,1950,1.9,387
32,1950,-0.3,335
33,1950,0.5,974
33,1950,0.7,722
33,1950,-0.2,252
34,1950,3.6,1139
35,1950,2.6,802
36,1950,1.6,700
37,1950,-0.8,2277
38,1950,-0.3,56
39,1950,7.8,1895
40,1950,5.9,2013
41,1950,0.5,214
42,1950,0,9
43,1950,17.9,3530
44,1950,3.6,774
45,1950,5.1,1550
46,1950,5.1,1137
47,1950,8.4,1517
48,1950,5,1123
49,1950,3.5,708
50,1950,-0.1,358
51,1950,2.5,698
51,1950,1.9,505
51,1950,0.6,193
52,1950,3,1286
53,1950,0.7,1635
54,1950,2.5,1312
55,1950,0.1,122
56,1950,1.3,566
57,1950,2.6,455
58,1950,7.2,1175
59,1950,3.4,1260
60,1950,4.8,1574
61,1950,2.3,823
61,1950,1.3,280
61,1950,1.1,542
62,1950,3,1073
63,1950,3.7,1121
63,1950,1.6,781
63,1950,2.1,339
64,1950,4.2,1161
65,1950,1.8,783
66,1950,-0.9,276
66,1950,-0.9,148
66,1950,0,127
67,1950,4.3,1781
68,1950,1.7,632
69,1950,10.6,2551
70,1950,-1,804
70,1950,0.1,16
70,1950,-0.6,526
70,1950,-0.5,261
71,1950,0.3,155
71,1950,0.4,146
