Nat Clifton*,1922,AR,Little Rock
Bob Cousy*,1928,NY,New York
Ray Ellefson,1922,SD,Brookings
Larry Foust,1928,OH,Painesville
Don Lofgran,1928,CA,Oakland
Tommy O'Keefe,1928,NJ,Jersey City
Kevin O'Shea,1925,CA,San Francisco
Don Rehfeldt,1927,IL,Chicago
Dick Schnittker,1928,OH,Kelleys Island
Bill Sharman*,1926,TX,Abilene
Elmer Behnke,1929,IL,Rockford
Dick Dickey,1926,IN,Grant County
Lew Hitch,1929,IL,Griggsville
Mel Hutchins,1928,CA,Sacramento
Neil Johnston*,1929,OH,Chillicothe
George King,1928,WV,Charleston
John McConathy,1930,LA,Sailes
Alfred McGuire*,1928,NY,New York
Dave Minor," Los Angeles""",MO,1922
Ralph O'Brien,1928,KY,Henshaw
John Pilch,1925,WY,Sheridan
Sam Ranzino,1927,IN,Gary
Whitey Skoog,1926,MN,Duluth
Jim Baechtold,1927,PA,McKeesport
Jim Brasco,1931,NY,Brooklyn
Dick Bunt,1930,NY,Queens
Gene Conley,1930,OK,Muskogee
Dick Groat,1930,PA,Wilkinsburg
Jack McCloskey,1925,PA,Mahanoy City
Monk Meineke,1930,OH,Dayton
Bill Mlkvy,1931,PA,Palmerton
Mark Workman,1930,WV,Charleston
Zeke Zawoluk,1930,NY,Brooklyn
Don Ackerman,1930,NY,New York
Don Asmonga,1928,PA,West Mifflin
Ernie Barrett,1929,KS,Pratt
Ernie Beck,1931,PA,Philadelphia
Walt Davis,1931,TX,Beaumont
Ray Felix,1930,NY,New York
Jack George,1928,PA,Swissvale
Norm Grekin,1930,PA,Philadelphia
Billy Kenville,1930,NY,Elmhurst
Dick Knostman,1931,KS,Wamego
Clyde Lovellette*,1929,IN,Petersburg
Jack Molinas,1931,NY,New York
Bob Peterson,1932,CA,San Mateo
James Phelan,1925,IL,Chicago
Ed Smith,1929,OH,West Jefferson
Don Sunderlage,1929,IL,Roselle
Norm Swanson,1930,IL,Chicago
Isaac Walthour,1930,NY,New York City
George Yardley*,1928,CA,Hollywood
Larry Costello,1931,NY,Minoa
George Dempsey,1929,PA,Philadelphia
Chuck Grigsby,1928,OH,Dayton
Herm Hedderick,1930,PA,Erie
Mike Kearns,1929,NJ,Trenton
Red Kerr,1932,IL,Chicago
Jackie Moore,1932,PA,Philadelphia
Togo Palazzi,1932,NJ,Union City
Bob Pettit*,1932,LA,Baton Rouge
Frank Ramsey*,1931,KY,Corydon
Frank Selvy,1932,KY,Corbin
Gene Shue,1931,MD,Baltimore
Jim Tucker,1932,KY,Paris
Jack Turner,1930,IN,Bedford
Bobby Watson,1930,KY,Central City
Jesse Arnelle,1933,NY,New Rochelle
Dick Atha,1931,IN,Otterbein
Walter Dukes,1930,NY,Rochester
Al Ferrari,1933,NY,New York
Dick Garmaker,1932,MN,Hibbing
Tom Gola*,1933,PA,Philadelphia
Dick Hemric,1933,NC,Jonesville
Jim Loscutoff,1930,CA,San Francisco
Chuck Mencel,1933,WI,Phillips
Med Park,1933,SD,Britton
Richie Regan,1930,NJ,Newark
Dick Ricketts,1933,PA,Pottstown
Bob Santini,1935,NY,Bronx
Kenny Sears,1933,CA,Watsonville
Maurice Stokes*,1933,PA,Pittsburgh
Jack Twyman*,1934,PA,Pittsburgh
Bob Armstrong,1933,MI,Detroit
Gary Bergen,1932,MO,Independence
Al Bianchi,1932,NY,Long Island City
Bob Burrow,1934,AR,Malvern
Si Green,1933,NY,New York
Richie Guerin*,1932,NY,New York
Cliff Hagan*,1931,KY,Owensboro
Tom Heinsohn*,1934,NJ,Union City
Bob Hopkins,1934,LA,Jonesboro
Phil Jordon,1933,CA,Lakeport
Hal Lear,1935,PA,Philadelphia
Slick Leonard*,1932,IN,Terre Haute
Jim Paxson,1932,IN,Pennville
Bill Russell*,1934,LA,Monroe
Ron Shavlik,1933,CO,Denver
Ron Sobie,1934,IL,Chicago
Norm Stewart,1935,MO,Leonard
Lou Tsioropoulos,1930,MA,Lynn
Bo Erias,1932,NY,Astoria
Larry Friend,1935,IL,Chicago
Sam Jones*,1933,NC,Wilmington
Jim Krebs,1935,MO,Webster Groves
Brendan McCann,1935,NY,Brooklyn
Worthy Patterson,1931,CT,New Haven
Lennie Rosenbluth,1933,NY,New York
Woody Sauldsberry,1934,LA,Winnsboro
Guy Sparrow,1932,MI,Pontiac
Charlie Tyra,1935,KY,Louisville
Jim Walsh,1930,CA,San Francisco
Elgin Baylor*,1934,DC,Washington
Jerry Bird,1935,KY,Corbin
Bucky Bockhorn,1933,IL,Campbell Hill
Pete Brennan,1936,NY,Brooklyn
Archie Dees,1936,MS,Ethel
Connie Dierking,1936,NY,Brooklyn
Wayne Embry*,1937,OH,Springfield
Mike Farmer,1936,OK,Oklahoma City
Dave Gambee,1937,OR,Portland
Hal Greer*,1936,WV,Huntington
Steve Hamilton,1935,KY,Columbia
Vern Hatton,1936,KY,Owingsville
Andy Johnson,1932,CA,Los Angeles
Tommy Kearns,1936,NY,New York
Jim Palmer,1933,VA,Keokee
Jack Parr,1936,KY,Louisville
Hub Reed,1936,OK,Harrah
Guy Rodgers*,1935,PA,Philadelphia
Phil Rollins,1934,KY,Wickliffe
Bob Anderegg,1937,WI,Monroe
Dick Barnett,1936,IN,Gary
Whitey Bell,1932,KY,Monticello
Wilt Chamberlain*,1936,PA,Philadelphia
Bob Ferry,1937,MO,St. Louis
Johnny Green,1933,OH,Dayton
Gene Guarilia,1937,PA,Duryea
Tom Hawkins,1936,IL,Chicago
Bailey Howell*,1937,TN,Middleton
Rudy LaRusso,1937,NY,Brooklyn
Cal Ramsey,1937,AL,Selma
Joe Ruklick,1938,IL,Princeton
Al Attles,1936,NJ,Newark
Bob Boozer,1937,NE,Omaha
Dave Budd,1938,NJ,Woodbury
Ralph Davis,1938,KY,Vanceburg
Darrall Imhoff,1938,CA,San Gabriel
Pickles Kennedy,1938,PA,Philadelphia
Bob McNeill,1938,PA,Philadelphia
Jackie Moreland,1938,LA,Minden
Don Ohl,1936,IL,Murphysboro
Oscar Robertson*,1938,TN,Charlotte
Tom Sanders*,1938,NY,New York
Jerry West*,1938,WV,Chelyan
Lenny Wilkens*,1937,NY,Brooklyn
Walt Bellamy*,1939,NC,New Bern
George Blaney,1939,NJ,Jersey City
Cleveland Buckner,1938,MS,Yazoo City
Donnie Butcher,1936,KY,Williamsport
Al Butler,1938,NY,Rochester
Howie Carl,1938,IL,Chicago
Jimmy Darrow,1937,OH,Akron
Johnny Egan,1939,CT,Hartford
Cleo Hill,1938,NJ,Newark
Ron Horn,1938,IN,Marion
York Larese,1938,NY,New York
Bevo Nordmann,1939,MO,St. Louis
Gary Phillips,1939,IL,Quincy
Ray Scott,1938,PA,Philadelphia
Lee Shaffer,1939,IL,Chicago
Adrian Smith,1936,KY,Farmington
Sam Stith,1937,VA,Greenville County
Horace Walker,1937,PA,Chester
John Barnhill,1938,KY,Sturgis
Zelmo Beaty*,1939,TX,Hillister
Bill Bridges,1939,NM,Hobbs
Len Chappell,1941,PA,Portage
Johnny Cox,1936,KY,Neon
Dave DeBusschere*,1940,MI,Detroit
Terry Dischinger,1940,IN,Terre Haute
Danny Doyle,1940,NY,Long Island City
Leroy Ellis,1940,NY,Far Rockaway
Jack Foley,1939,MA,Worcester
Charlie Hardnett,1938,GA,Atlanta
John Havlicek*,1940,OH,Martins Ferry
Wayne Hightower,1940,PA,Philadelphia
Kevin Loughery,1940,NY,Brooklyn
Bill McGill,1939,TX,San Angelo
Don Nelson*,1940,MI,Muskegon
John Rudometkin,1940,CA,Santa Maria
Tom Stith,1939,VA,Greenville County
Dan Swartz,1934,KY,Owingsville
Dan Tieman,1940,KY,Covington
Chico Vaughn,1940,OR,Portland
Chet Walker*,1940,MS,Bethlehem
Ben Warley,1936,DC,Washington
Jay Arnette,1938,TX,Austin
Mel Gibson,1940,NC,Cordova
Jerry Harkness,1940,NY,New York
Art Heyman,1941,NY,New York
Tom Hoover,1941,DC,Washington
Gus Johnson*,1938,OH,Akron
Jim King,1941,OK,Tulsa
Don Kojis,1939,WI,Milwaukee
Jerry Lucas*,1940,OH,Middletown
Eddie Miles,1940,AR,North Little Rock
Mel Peterson,1938,MN,Thief River Falls
Larry Siegfried,1939,OH,Shelby
Roger Strickland,1940,FL,Jacksonville
Tom Thacker,1939,KY,Covington
Rod Thorn,1941,WV,Princeton
Nate Thurmond*,1941,OH,Akron
Jim Barnes,1941,AR,Tuckerman
Ron Bonham,1942,IN,Muncie
Gary Bradds,1942,OH,Jamestown
Em Bryant,1938,IL,Chicago
Joe Caldwell,1941,TX,Texas City
Mel Counts,1941,OR,Coos Bay
Happy Hairston,1942,NC,Winston-Salem
Les Hunter,1942,TN,Nashville
Luke Jackson,1941,TX,San Marcos
Larry Jones,1942,OH,Columbus
Wali Jones,1926,KY,Harlan
Howard Komives,1941,OH,Toledo
Bud Koper,1942,OK,Rocky
Barry Kramer,1942,NY,Schenectady
McCoy McLemore,1942,TX,Houston
Jeff Mullins,1942,NY,Astoria
Cotton Nash,1942,NJ,Jersey City
Willis Reed*,1942,LA,Hico
Paul Silas,1943,AR,Prescott
John Thompson*,1941,DC,Washington
George Wilson,1942,MS,Meridian
Rick Barry*,1944,NJ,Elizabeth
Jesse Branson,1942,NC,Burlington
Bill Buntin,1942,MI,Detroit
Barry Clemens,1943,OH,Dayton
Billy Cunningham*,1943,NY,Brooklyn
John Fairchild,1943,CA,Encinitas
Will Frazier,1942,LA,Minden
Fred Hetzel,1942,DC,Washington
Jon McGlocklin,1943,IN,Franklin
Thales McReynolds,1943,AL,Birmingham
Ron Reed,1942,IN,La Porte
Jerry Sloan*,1942,IL,McLeansboro
Willie Somerset,1942,PA,Sharon
Dave Stallworth,1941,TX,Dallas
Joe Strawder,1940,FL,Belle Glade
Bob Warlick,1941,NC,Hickory
Jim Washington,1943,PA,Philadelphia
Bob Weiss,1942,PA,Easton
Henry Akin,1944,MI,Detroit
Johnny Austin,1944,DC,Washington
Jim Barnett,1941,AR,Tuckerman
Dave Bing*,1943,DC,Washington
John Block,1944,CA,Los Angeles
Nate Bowman,1943,TX,Fort Worth
Jerry Chambers,1943,DC,Washington
Archie Clark,1941,AR,Conway
Freddie Crawford,1941,NY,New York
Dave Deutsch,1945,NY,Brooklyn
Hank Finkel,1942,NJ,Union City
Lou Hudson,1944,NC,Greensboro
Neil Johnson,1929,OH,Chillicothe
Toby Kimball,1942,MA,Framingham
Clyde Lee,1944,TN,Nashville
Bob Love,1942,LA,Bastrop
Jack Marin,1944,PA,Sharon
Bill Melchionni,1944,PA,Philadelphia
Wayne Molis,1943,IL,Chicago
Flynn Robinson,1941,IL,Elgin
Cazzie Russell,1944,IL,Chicago
Dave Schellhase,1944,IN,Evansville
Dick Snyder,1944,OH,North Canton
Jim Ware,1944,MS,Natchez
Walt Wesley,1945,FL,Fort Myers
Bill Bradley*,1943,MO,Crystal City
Jim Caldwell,1943,NC,Durham
George Carter,1944,NY,Buffalo
Jim Davis,1941,IN,Muncie
Sonny Dove,1945,NY,Brooklyn
Jim Fox,1943,GA,Atlanta
Walt Frazier*,1945,GA,Atlanta
Dennis Hamilton,1944,CA,Huntington Beach
Clem Haskins,1943,KY,Campbellsville
Al Jackson,1943,OH,Cleveland
Phil Jackson*,1945,MT,Deer Lodge
Johnny Jones," Los Angeles""",WA,1943
Dave Lattin,1943,TX,Houston
George Lehmann,1942,NJ,Riverside
Paul Long,1944,KY,Louisville
Ed Manning,1944,MS,Summit
Stan McKenzie,1944,FL,Miami
Jay Miller,1943,MO,St. Louis
Earl Monroe*,1944,PA,Philadelphia
Pat Riley*,1945,NY,Rome
Bob Rule,1944,CA,Riverside
Al Tucker,1943,OH,Dayton
Jimmy Walker,1944,VA,Amherst
John Wetzel,1944,VA,Waynesboro
Ken Wilburn,1944,MI,River Rouge
Tom Workman,1944,WA,Seattle
Zaid Abdul-Aziz,1946,NY,Brooklyn
Rick Adelman,1946,CA,Lynwood
Tom Boerwinkle,1945,OH,Cleveland
Don Chaney,1946,LA,Baton Rouge
Dick Cunningham,1946,OH,Canton
Fred Foster,1946,OH,Springfield
Gary Gregor,1945,WV,Charlestown
Shaler Halimon,1945,FL,Tampa
Elvin Hayes*,1945,LA,Rayville
Bill Hewitt,1944,MA,Cambridge
Bill Hosket,1946,OH,Dayton
Bob Kauffman,1946,NY,Brooklyn
Stu Lantz,1946,PA,Uniontown
Don May,1946,OH,Dayton
Otto Moore,1946,FL,Miami
Dave Newmark,1946,NY,Brooklyn
Rich Niemann,1946,MO,St. Louis
Barry Orms,1946,MO,St. Louis
Charlie Paulk,1946,GA,Fitzgerald
Bob Quick,1946,MS,Thornton
Craig Raymond,1945,WA,Aberdeen
Mike Riordan,1945,NY,New York
Dale Schlueter,1945,WA,Tacoma
Doug Sims,1943,AL,Elba
Greg Smith,1947,KY,Princeton
Wes Unseld*,1946,KY,Louisville
Dwight Waller,1945,TN,Brownsville
Ron Williams,1944,WV,Weirton
Kareem Abdul-Jabbar*," Los Angeles""",NY,1947
Johnny Baum,1946,PA,Philadelphia
Butch Beard,1947,KY,Hardinsburg
Fred Carter,1945,PA,Philadelphia
Bob Dandridge,1947,VA,Richmond
Mike Davis,1946,NY,Brooklyn
Herm Gilliam,1946,NC,Winston-Salem
Lamar Green,1947,AL,Birmingham
Connie Hawkins*,1942,NY,Brooklyn
Steve Kuberski,1947,IL,Moline
Willie McCarter,1946,IN,Gary
Steve Mix,1947,OH,Toledo
Grady O'Malley,1948,MA,Boston
Bud Ogden,1946,CA,San Luis Obispo
Bob Portman,1947,CA,San Francisco
Luther Rackley,1946,GA,Bainbridge
Rick Roberson,1947,TN,Memphis
Neal Walk,1948,OH,Cleveland
John Warren,1947,GA,Sparta
Bernie Williams,1945,DC,Washington
Lee Winfield,1947,MO,St. Louis
Don Adams,1947,GA,Atlanta
Tiny Archibald*,1948,NY,New York
Bob Arnzen,1947,KY,Covington
Dennis Awtrey,1948,CA,Hollywood
Dave Cowens*,1948,KY,Newport
Terry Driscoll,1947,MA,Winthrop
Claude English,1946,GA,Columbus
Greg Fillmore,1947,PA,Philadelphia
Spencer Haywood*,1949,MS,Silver City
Gar Heard,1948,GA,Hogansville
Greg Howard,1948,PA,Pittsburgh
John Hummer,1948,DC,Washington
George Johnson,1947,TX,Herleton
