LAN,SDN,Steve Garvey
LAN,SDN,Adrian Gonzalez
LAN,TOR,Shawn Green
LAN,TEX,Charlie Hough
LAN,ATL,Rafael Furcal
NYA,NYN,David Cone
NYA,MIN,Chuck Knoblauch
NYA,SDN,Dave Winfield
NYA,TOR,David Wells
NYA,TEX,Mark Teixeira
NYA,KCA,Lou Piniella
NYA,OAK,Jason Giambi
NYA,OAK,Rickey Henderson
NYA,OAK,Catfish Hunter
NYA,CIN,Paul O'Neill
NYA,BAL,Mike Mussina
NYA,CHN,Joe Girardi
NYA,CHN,Alfonso Soriano
NYA,SEA,Alex Rodriguez
NYA,BOS,Wade Boggs
NYA,BOS,Roger Clemens
NYA,BOS,Babe Ruth
NYN,MIN,Johan Santana
NYN,SLN,Keith Hernandez
NYN,WAS,Gary Carter
NYN,PIT,Bobby Bonilla
NYN,TOR,Carlos Delgado
NYN,KCA,Bret Saberhagen
NYN,OAK,Ron Darling
NYN,CIN,John Franco
NYN,CIN,Tom Seaver
NYN,ATL,Tom Glavine
NYN,BAL,Jesse Orosco
NYN,CHN,Steve Trachsel
NYN,PHI,Lenny Dykstra
NYN,PHI,Tug McGraw
LAN,NYN,Mike Piazza
MIN,LAA,Torii Hunter
MIN,BAL,Scott Erickson
MIN,CHN,Kevin Tapani
MIN,BOS,David Ortiz
MIL,BAL,J. J. Hardy
MIL,ARI,Craig Counsell
SDN,SLN,Andy Benes
SDN,SLN,Ozzie Smith
SDN,PIT,Brian Giles
SDN,HOU,Ken Caminiti
SDN,ATL,Ryan Klesko
CHA,WAS,Tim Raines
CHA,SFN,Ray Durham
CHA,TOR,Alex Rios
CHA,HOU,Carlos Lee
CHA,DET,Magglio Ordonez
CHA,BAL,Harold Baines
CHA,BOS,Carlton Fisk
SLN,LAA,Albert Pujols
SLN,TOR,Chris Carpenter
SLN,COL,Matt Holliday
SLN,OAK,Mark McGwire
SLN,ATL,Terry Pendleton
SLN,CHN,Bruce Sutter
SLN,PHI,Steve Carlton
SLN,BOS,J. D. Drew
SLN,PHI,Tim McCarver
